,Ninjavan TH Reviews
112," This transport, the worst service, the worst, the slowest. Should have received items from April 2, until now, April 6, still did not receive the goods, calling the whole big center, both the courier and speaking, but …"
113," Ordered items in shopee and it has a single delivery, delivery cost 29 baht, I think J&T because this transport is very good in our neighborhood, service is good enough, only the seller is the ninja van. Haven't …"
114, Really bad !! Liar !!  
115," Do not use this service. Can't contact anything, call center, can't give person number Goods arrived and told them to pay. But can't contact us …"
116," Service is very bad, delivery of goods is slow, is preserved at the warehouse. In the system can not contact the recipient. No one has contacted yet. Then took the goods back to the new warehouse …"
117," Ordered items from Shopee yesterday, the status is delivered, but there is no staff to contact, when checking in the evening, the status says, unable to contact us even though we haven't contacted yet, we waited all …"
118," Order set for several days. When the delivery deadline was reached, we waited, but there was no communication from the courier. When came to check the parcel number, said The product was not delivered successfully. …"
119," Very slow Not recommended, can be avoided, should be avoided Order from China first. Bangkok to Rajyuri takes 5 days. Customers curse in the morning, lunch and evening. …"
120," Waiting for delivery all day, order in shopee Status shows that the goods will be received today, waiting all day, there is no indication that the phone will come, take it with you all the time, even going to the …"
121," Lek Huay, Ratchaburi, 70000 No, the car ran a big box, gave the car a delivery machine, how could he carry it? Ninja Van …"
122," The delivery of this company is very slow, horrible.  "
123," It is extremely slow transportation. If there is a channel that does not give any points at all, then this company Very drool, tell me If there are many companies to choose from I would not recommend anyone to use the …"
124," It is a terrible transport. Since every order To inform the shop, unable to contact even without calling Unable to deliver goods, tell no one to live Even though there are always people at home This is the service The …"
125," Ordered with se-ed, pay, express delivery, but the package has not yet arrived very late. …"
126," Poor service, order of the shop, delivered on Thursday, received again on Tuesday, the house is in Samut Sakhon. Shop in Samut Prakan, near DC, it sent to Mars and returned to Earth. …"
127, Very slow for many days  
128," Followed by the email report after the submission. - Very good email report with name, date / time, picture, signature of the person who signed for the parcel, complete and complete amount. …"
129," Until now, have not received the product _ call to postpone again _ and tell customers to postpone _ very bad _ Bang Pa-in Ayutthaya _ ordered from shopee next, which shop used to transport Ninja Van _ will not order …"
130," 10 days sent Customer has not received the item The call to the call center cannot provide any information. Until the customer cancels the Ogre, who is responsible for how to send it in 10 days still has not been …"
131," Waited from the date 6/2/64 until now, not yet. At first it arrived and I couldn't find the item so I said that I would send it again. Until now, not at all, confused. …"
132," Convenient transportation, fast, use a ninja  "
133," Today there is an employee from the transportation way to call us. At first I told you that the customer bought this .... This order number .... We are in .. ..... Later, I said that the customer bought it with this …"
134, The delivery is very slow.  
135, Call to inform in advance that the goods will be delivered. The delivery staff spoke politely. …
136, The staff are polite and humble.  
137," Ordered from shopee, delivered by ninja van delivery, very bad service. Talks should not be available, call at 7.58 am, tell me the goods will be delivered at this time, not yet. When I called to ask, he said that he …"
138," The transportation is very bad. On 25/12/63, the staff called in at 8:00 p.m. said that the product was not delivered on time. Request to cancel delivery today. Will come and send it again on 26/12/63, waiting all …"
139, Good service staff Haven't met an employee who has bad manners yet. But may be delivered later than the others …
140," It is a bad transport, slow delivery, employees call and postpone again. …"
141," Terrible service, let's change the delivery time from yesterday to today and from today to tomorrow. Bad, bad, bad, no responsibility at all. Not deserving of a star …"
142, Delivery does not call to notify The system is currently delivering 08; 00 until the end of the day. …
143," The system is terrible. Products sent 4 days a day. Still not something else. Ordered later, kerry flash delivered, but this still hasn't arrived. Who will use the service, thinking good is very bad. …"
144," Using the service for the first time, very ok. The second time is quite bad. Because you call us at 21.30 Which at that time we were going to work so there was no time to receive Which our house is in other provinces, …"
145," Very slow. Other transportation, where are they going? This transport is still a turtle crawling. Should improve the speed of delivery to be better …"
146, I met myself twice 
147," Contacted, will send items, use words like talking to a friend, not enough, and also tell them to walk outside to pick up the item. How do you think? Order dome lid 15 pack paper glasses 15 rows * 50 pieces per …"
148," The transport is very slow, ordered three days. Haven't received the item yet …"
149," Delivered very slow. Enough to send, did not call to tell first. …"
150," Very good, not delivering items as scheduled, filling out, canceling delivery. And people who order the product just wait. Ask to go to every channel, no answer whatsoever It is the cheapest transport that I have ever …"
151," The transportation system is very low. Never used to transport anything, and I received this very slow. Delivery from Nakhon Pathom to Samut Prakan took 8 hours, until now I have not received the parcel. The transport …"
152," Transported more like a turtle The parcel status from last night until now, the status is still in the same place. …"
153, Ninja van can wait. It's the worst in loca. Things that are not yet claimed. This is bad. …
154," Terrible, awful, ordered from the 20th Until 27 haven't. When ordering in shopee Specify received no more than 24 Here I come for 3 days. …"
155," Order on 11/10 Delivery store 12/10 Date 14/10 18:03 Call to inform today, missed delivery Send to tomorrow, but the …"
156," Very bad, very late delivery Added to the false state that Unable to contact recipient Despite not being contacted Goods were sent from 9 o'clock until 2 o'clock. No customer contact Waiting for another day Out at 9 …"
157," Poor segregation management The goods are transported for 4 days, not yet. The provinces are adjacent too. Calling to ask, it appears that the postal number is wrong. …"
158," Ordered from shopee, delivered by ninja van delivery, someone signed for it instead. We do not have items. The house is all day. Send it to anyone, anywhere, call …"
159," Poor service, staff, poor delivery, lack of training  "
160,"Never ever try to use, tracking is faked, customer complained never taken to account."
161," The delivery is very slow, I said I will deliver today, but it is quiet. Claiming but a lot of stuff One time, I didn't choose Ninja. …"
162, Very slow.  
163," Order from shoot, fast delivery shop, but stuck in the transport of Ninja Van Thung Khru, but came up with a status that contacted the customer is not a residence.What is it? Is it up to the office? Why can't I …"
164, It is very bad. It is the first company to deliver the goods and then walk to get the goods and take the money out to pay. …
165," Service to postpone, send, reserve and deliver again Claiming a lot of stuff …"
166," Very good, Maha Sarakham Province, always use Ninja Van service. Polite staff always call in advance. Very impressed. Very good. …"
167, The delivery staff spoke like a ghost.  
168," Terrible, very slow transportation, the delivery date is delayed for 2 days, and still not enough to call to inform the delivery date itself. But in the system back that we are notifying the change of the date itself …"
169, Good  
170," Call center, terrible service, no manners.  "
171,Somehow refused to deliver my package after 10 days of waiting and constant calls to the customer service.
172, Fast delivery  
173, Send fast now. One day to go Employees will leave the parcel at the juristic person. …
174," The delivery staff calls for appointments to send first in advance, good service, good polite speech. …"
175," The parcel box is very demolished. But fortunately, the contents are fine. The delivery speed is considered fast. …"
176," Well, I didn't get it myself, but Nauti accepted it without being dropped or damaged. …"
177, The staff spoke well and polite.  
178,Fast delivery. Driver is very friendly and polite.
179," The service staff are very good, very polite, trust Ninja Company. To deliver parcels many times and countless times …"
180," There is a delay in delivery per house. Some items are delivered within 1 day. When asked to arrive in that area, the employee did not sell immediately. …"
181," Very good service staff The parcel is delivered quickly, known to be delivered very well. Without giving directions at all …"
182," Brother who delivered the goods Riding on a motorcycle to speak well, smiling face …"
183," Good service, call to inform before the parcel arrives.  "
184," Good service, fast delivery as scheduled  "
185, Fast delivery Call to inquire before sending. Good.  
186, The sender called before sending the parcel. Good talk. Leave the security guard. …
187, Send good service staff.  
188, Fast delivery  
189, Get things fast The staff delivered early in the morning. It's quick to eat. …
190, OK  
191," For people who want to experience the new dimension of shipping How is it sent locally? As if Phil has received products from abroad Through the consular ceremony By storing them at the warehouse one area at a time, …"
192, Very fast  
193," The first employee called to ask for directions, but did not come and sent it, and still recorded in Shopee that the recipient could not be contacted even though we had given directions. And waited all day Must …"
194, Quick  
195, Received the item and sent it well.  
196, The product is neat and the cover arrives quickly.  
197," Send work quickly, polite, like straight, use local people who know the area very well. …"
198," Delivered quickly, safe parcel. Have a call first Making it possible to plan to receive packages …"
199," Shipping delay Check the web page, see Tung's admission, but on the 7th but deliver the goods on the 11th despite the store ordered only 7 kilometers away from the customer's home .. …"
200, Employees have called in advance to deliver the goods. Very polite speaking …
201," The delivery speed is very good. The staff who delivered the product spoke very well. Overall, I am very impressed. …"
202, Very good. The product arrives very quickly #Love it 😜🥰 …
203, Receive the goods safely and Fast to deliver Polite staff …
204, good  
205, Teenage Mutant Ninja Turtles Delivering items 3 times each I am encouraged …
206," Slow delivery I do not understand that it is the shop's system slow delivery or delivery. Because the destination province is in the metropolitan area We ordered products on Sunday, but the products were delivered on …"
207," Fast delivery, economical, very cute.  "
208, Goods delivered on time  
209," Received the product. No damage Before coming to the staff, call first But since that day is at a different place Therefore put it in the mailbox in front of the house There aren't any problems. …"
210, Fast delivery ..  
211, Delivery very fast The organizing staff speaks politely.  
212," Good service, very good-natured delivery person, Don Tro Subdistrict, Chalerm Phra Kiat District Nakhon Si Thammarat Province Come to send often until you are close. Impressed with the service …"
213," Fast delivery, but before coming to send, want to call and tell first …"
214," Call to inform before arriving, delivery is good, fast.  "
215," Good service, fast delivery, polite staff, hundreds of parcels arrive in good condition. …"
216," Nong Bua Lam Phu branch, fast delivery, good, not losing to others, good box condition, delivery staff call before entering the delivery Excellent, please keep this kind of standard continue. …"
217," Employees should have an understanding of Soi Fang, even numbers, odd numbers. …"
218," The delivery is fast. But I don't like being alone at all: I'm not at home But he signed as me to pick up the goods, that is, if the item is lost, do I have to follow with myself? Bad habits …"
219, Fast  
220, Many broken parcels I don't know why Inaccuracy of the sender 
221, Transportation OK. Products in good condition. Call before delivery. …
222," Call for an appointment Some, not some Most of the employees encountered 99.99% are considered very good. …"
223, There is a polite advance call to help lift things to the place. …
224," Employees call in advance that the parcel has arrived. Speaking because .... Overall, it is considered good. …"
225, The staff are polite and polite.  
226, Very good service in all matters  
227," Ordered the Ninja Van 2 times. The bad first time was one call, and when we didn't answer, we called back, and he didn't pick up. The next day we called back to pick up. We told you to come in and deliver the goods …"
228," The staff called in advance that they would deliver the product. Speak politely Overall, I am very satisfied with the delivery of the product. …"
229, The transportation service is very fast.  
230, Poor. Hold for 3 days in the company's system. The place of delivery is a residence Poorly unable to contact the recipient. Do not contact. Always wait. …
231, I can tell one word is very slow.  
232, The delivery man spoke very well.  
233," The package was very wrinkled, if it was something that could be broken, it was really bad, not that it was delivered to the recipient's meal only. The delivery must be in perfect condition as well. …"
234, Never been disappointed with the transportation The product comes in good condition. The staff are also polite. …
235, The staff are polite. Call for delivery. Soon  
236, Polite staff can schedule appointments.  
237," The recipient is not the owner of the package. Checked at home, no one accepted the parcel. …"
238," Shipping, I am okay, nothing is damaged. I wish to be like this forever. …"
239,"Fast delivery,May be"
240," Is confusing. Ordering the number is on the front of the box But the status says The sender has arrived at the residence but cannot contact the receiver. Call is not calling. Also, today is a holiday. Many people at …"
241," Responsible employees are the very essence of the company. Accidents can happen at any time. Therefore, due to force majeure, it is not possible to blame the employees who were sent late. …"
242, The product is not damaged. Quite good  
243, Fast delivery  
244, Excellent delivery  
245," Good, call to inform before delivery, good product, staff came to deliver at the specified point. The product is not damaged. May depend on the service area Fast delivery. …"
246, Good fast  
247, Fast delivery across the day. Very good service.  
248, Polite staff. Call ahead. Supporting people making a living ❤️ …
249, The delivery person spoke good service.  
250, Good fast service .. Staff speak politely. The staff member called in before telling the package to be delivered every time. …
251, Good  
252," Delivery staff polite. Call to notify to pick up the product, even without having to collect products Normally, if there is no collection fee, most will deposit the project law without notifying …"
253, Please maintain the standards and improve the service even further 😊🤍 …
254," Okay, no problem.  "
255, The shipping cost is fast. Good service staff  
256,"Good service, politely and professional team, all my question was sorted very fast,, lov this company 🥰"
257, The delivery staff is good. Fast and there is a call to notify first. …
258, Delivery on time  
259," Use the service every time because it's fast, cheap, and good service, not inferior to other owners. I've been using the service since the first ninja van was available. Cheering for the team …"
260, Better than before  
261, The staff were polite before calling to tell first.  
262, The staff called to request permission to place the products in front of the house in a safe place. Very good. …
263, The delivery is good.  
264," Senders call to notify before sending, considered good  "
265," Fast delivery Have better development From many months ago, slow delivery of the lost goods but came today when the ninja Improved delivery Please encourage the team and staff. Continue to improve the work …"
266," Today, the staff are women. Call to inform that a package has been delivered. Therefore told to put it in the bicycle basket Then she pressed the call away Discomfort Just walk into the building in front of the room. …"
267," When the officer calls to notify to receive the product, it is already in front of the house Always like this If collecting money at the destination, would probably find money to be busy Should call in advance for 3 …"
268, Polite staff  
269," Good service, affordable price Call to inform the reception of the staff politely. …"
270, Transportation is very slow  
271," Very late delivery Unable to send in time, not calling customer, then delivery status unsuccessful Call back at 8 pm and say that delivered tomorrow. Tomorrow is not true Another day passed to get the item. Must call …"
272, The thing is that the transport staff spoke well.  
273," The staff are very friendly, the condition is very perfect. …"
274,The staff should be trained how to speak politely to the customer 😵😵
275," Overall, the staff speak good. Good transportation, undamaged products …"
276, Very good. Transport staff are cute. 😁  
277," Delivered as per the provincial standards, about 4 days is OK, slightly slower than the others. …"
278, Package number SHNV323749471 Fast delivery as according to the slogan. …
279," Good service, good speech, no damage received "
280," Fast transportation. Staff are very polite. Overall, it is good. Want to keep this quality forever …"
281," The delivery man spoke politely. Call in advance. We transfer too much money, then he quickly transferred back. …"
282, who had deliver early last night
283, Let Grandma take the stuff. But should be good  
284, Service is polite.  
285," Good, fast transportation The staff is neat, polite, and lovely. There is a call coming in every time before delivering the package to us. …"
286, Service is very poor. Contacted outside of business hours and didn't send the product. …
287, The goods are received as soon as possible. The items are not damaged. …
288, With the development of better services  
289," The staff sent a call to inform in advance, politely speaking, sent to The overall summary is OK. …"
290, The staff speak politely. Delivery is very fast. Thank you very much. …
291," Good service staff, courteous, service with heart, fast shipping, no damage, thank you. …"
292," Express delivery, fast  "
293, Do not call in advance Self-signed by the recipient Sometimes throw things in But personally signed to receive the parcel …
294, Received the product  
295, Great service staff Fast delivery service  
296," Very fast delivery. Call from 8.24 hrs. Normally, other owners will call around 9-10 hrs. …"
297, Call to notify 1 hour before sending. It will be good not home and then call. 
298, Delivered quickly. The staff in advance called to speak politely. Very good. …
299," Previously, the delivery staff would be better. On July 10 at 16.20 hrs, the delivery staff called in a bad tone. The first question asks if urgent use of the item. Can you send it tomorrow Therefore asked to go back …"
300,Good Job
301, Send faster than I heard.  
302, Be polite in both speech and verbs.  
303, Good service. There is a call to inform before receiving the parcel and before sending the parcel every time. Very good staff. …
304," Fast delivery, good follow up call all the time while we work outside the delivery area, even after work at 17.30 ... Thank you and impressed with this service ใน …"
305," Fast delivery, normal service, good frantic, because I have to wait. I get stuck for a quick, short, quick job. One water service …"
306, Delivery very fast เร็ว  
307, Courier manners are good. The item is delivered as a 3 small booklet. The condition is not intact. This delivery is OK. …
308," Fast delivery, polite staff The product is in good condition without damage. If there is a chance to use the service again for sure …"
309, Fast delivery. The delivery staff are polite and speak good. ^ _ ^ Thank you very much. …
310," Very kind. Waiting for us when picking money. And we don't have any coins to find again. Finally, the money is missing 1 baht. I said it's okay. Very kind. Will definitely use the service again. …"
311," Order with shopee 3, ninja duty !! Omyai Branch, Sampran District, Nakhon Pathom Province .... Much reserve, tell now ... The 3rd time, I said I won't order with the ninja. I forgot to look at the same thing as …"
312, The staff speaks very polite. Service is very good.  
313," The goods are in good condition, fast delivery, OK staff  "
314," Good service, courteous delivery staff.  "
315, Educational Administration Never encountered a problem  
316,"Present time.. Fast delivery and good service mind I believe in "" Ninja Van """
317, The staff are very attentive. Call back and ask the problem immediately. While also checking things …
318," Very good. The staff speaks well, has good manners.  "
319," Delivery trucks in this area are open-tail trucks. Goods with sun, rain are not appropriate. Should fix. …"
320, Good fast  
321," Okay, it's normal. There are good reception procedures. Like that sending emails to tell who gets Along with showing the signature of the person who received the item as well The product wrapping is also good. Overall …"
322," Good. The staff delivered the goods well and spoke politely. Carry the whole thing to deliver the car, haha. Send very fast. Good fast. Good. Keep doing good. Will be able to use the service again. Thank you. …"
323, Employees come to deliver the Ninja every time they encounter. It is polite and there is a call to notify before every delivery. But please criticize that this time the box is crumpled The product is not …
324," Good service, fast transportation  "
325," Fast, product delivery staff smiling, service impressed.  "
326," Fast delivery The staff called to inform to coordinate the reception, had good manners, spoke well. …"
327," Fast, spoken very well.  "
328," ""Good delivery Lovely staff Talk politely, good service. "" …"
329, Good service staff  
330, Ninja at Paetrew. Very good service. I like. Use the service many times and impress every time. …
331, The latest staff delivered very quickly.  
332, Send the Vimgos.  
333," Fast delivery, good order Improved packaging only  "
334, The delivery staff spoke politely. Samut Songkhram - Ratchaburi …
335, Well-mannered staff Call every time.  
336, Received goods very quickly. Staff are in good service. Polite. The product is not damaged. The product condition has been good all along. …
337, Should have a call to the customer before sending. It should be good. Maybe no one is pick up. …
338," The staff are generous, amazed.  "
339, Good service staff Fast product delivery as scheduled.  
340, Delivery of products on time. The package is ok Polite staff. Lovely. …
341, Try using the carrier for the first time. It's fast. Wait. Very long. The service to the customers is very good. …
342," ""The staff called in advance to inform them of the delivery. As for the manners and polite, polite, _ good speech _ very good service …"
343, Nice staff  
344, The transport was very good. The status improved yesterday. Today's goods. …
345," Received service from parcel delivery More than 1 visit of Ninja Logistics Co., Ltd. delivered to the front of the house The product received is in good condition. The service is considered fast. Polite Prudent to …"
346, Fast delivery staff  
347, Delivery is a little late. But the package is ok The message that came ... Is he confusing? Don't know what he is When calling to deliver Can speak politely …
348, Fast delivery  
349,Fast shipping.
350, Good service .. polite..but maybe a little late.  
351, The shop sent a little too late. Good service staff with phone calls. …
352, visit  
353," Transportation service ninja van very good service, delivery from Nonthaburi to Nakhon Ratchasima takes only 3 days 🌟🌟🌟🌟🌟 …"
354," Fast delivery, cheap service. I like it. The only loss. Some products don't have ninjas to serve. …"
355, Please expand the branch to Victory Monument. Heart of Bangkok …
356," From tracking the delivery status Must be received since yesterday Up to 11 am on delivery status Finally didn't see it coming. But at 7 pm, the status says ""The delivery is residential and unable to contact the …"
357, Good service. Fast transportation. Impressed.  
