Organization Name,Address
T3EX Global Holdings,"	163E, Level 16, Hunza Tower Gurney Paragon, Jalan Kelawei, Georgetown, 10250 Penang, Malaysia"
T3EX Global Holdings,115 Airport Cargo Road Changi Airfreight Centre Cargo Agents Bldg C #06-19 Singapore 819466
T3EX Global Holdings,119 Airport Cargo Road#01-01/02 changi Cargo Agents Megaplex 1 Singapore
T3EX Global Holdings,"Ruko Mega Grosir Cempaka Mas Blok P No. 6 Jl. Letjen Suprapto, Jakarta 10640, Indonesia"
T3EX Global Holdings,"	Room109,No.34, Development Zone, Nangang District Harbin, Heilongjiang,China 150000"
T3EX Global Holdings,"	ROOM2402，China Life Insurance Mansion，NO.26 Renmin Road，Zhongshan DIST，Dalian China"
T3EX Global Holdings,"	Room 1007,International Trade Building,No.35,Qingnian Street , Shenhe District, Shenyang, Liaoning P.R. China"
T3EX Global Holdings,"	Suite 808, No. 189, The Exchange Tower 1, Nanjing Road, Tianjin 300051, China"
T3EX Global Holdings,"Room 706, Building C, Hangcheng Plaza, No.2 ,Jinsui Road, Shunyi district, Beijing"
T3EX Global Holdings,"	Room 1510, Rongding Building, No. 226 Zhonghua North Avenue, Xinhua District, Shijiazhuang, Hebei, China, 050000"
T3EX Global Holdings,"	Floor 22, Block 1, Software Park, No. 288, Ningxia Road, Shinan District, Qingdao, Shandong, China 266071"
T3EX Global Holdings,"	Rm1218 Shandong International Trade Building No.51 Taiping Road,Qingdao,China 266001"
T3EX Global Holdings,"	29 Floor, E-Tong International Tower,No.11 South Avenue, Yantai, Shandong Province, P.R. China ( 264000)"
T3EX Global Holdings,"	Room. 1612 Block A, XinShiJie Building, No.49-1 ShuangTa West Street, Yingze District, Taiyuan City, Shanxi Province, P. R. China 030001"
T3EX Global Holdings,"	Room 2207-2210, Floor 22, Unit 2, Building 2, 88 Jinshui East Road, Zhengdong New District, Zhengzhou city, Henan Province, P. R. China (450000)"
T3EX Global Holdings,"	Room 2106, 21st Floor, Building 1, Shaanxi International Convention and Exhibition Building, No. 1 Chang'an North Road, Beilin District, Xi'an city, Shaanxi Province, P. R. China"
T3EX Global Holdings,"	Room 916, 13/F, NO.2 Building, No.27 Qinglong Street, Qingyang District, Chengdu, P.R. China 610000"
T3EX Global Holdings,"8 Qixia Road, Liangjiang New Area, 16 buildings 11-9 in the era of Jinmao, Chongqing Province, P. R. China 401120"
T3EX Global Holdings,"	RM7005, JinCheng Building, NO.436, Middle Changjiang Road, HeFei, AnHui Province, China"
T3EX Global Holdings,"	Room 1501, Level 15, Shipping International Plaza, NO.250 Jianghan Road, JiangAn District, Wuhan,P.R. China 430014"
T3EX Global Holdings,"	1502, No.1.Boulevard2 Wu Yi Road(west), FuRong District,ChangSha, Hunan, China 410005"
T3EX Global Holdings,"Room 1208, Wall Street Plaza ,1669 Honggu Central Avenue, Honggutan District, Nanchang, Jiangxi, China (330038)"
T3EX Global Holdings,"	No.189 Huo Ju Street, Gao Xin Developmant Zone, Nanchang City, Jiang Xi Province, China"
T3EX Global Holdings,"8FL, Rm803-805, xiamen top plaza, No.2, Lujiang Road, Xiamen, China 361001"
T3EX Global Holdings,"Room 719, 14th Floor, South Building, Huacheng International Building, No. 162, Wusi Road, Fuzhou, China 350003"
T3EX Global Holdings,"Room P, 19th floor, Commercial Building, Flat B Zhongken Plaza, No.18 Anlan Road., Zhongshan, Guangdong Province, P.R.China 528402"
T3EX Global Holdings,"Room.1505-06, Eastern Tower,THE Plaza, No.625 Tianhe Road, Guangzhou, China"
T3EX Global Holdings,"Room.1507, Eastern Tower,THE Plaza, No.625 Tianhe Road, Guangzhou, China"
T3EX Global Holdings,"A2, 23/F, Block A, Nanfang Securities Building, No.2018 Jianshe Road, Luohu, Shenzhen, P. R. China (518001)"
T3EX Global Holdings,"F35, 4th Floor, Podium Building, Huangcheng Plaza, No. 7 Futian South Road, Futian District, Shenzhen"
T3EX Global Holdings,"13005E-13006E,13/F., ATL Logistics Centre B, Berth 3, Kwai Chung Container Terminal, Kwai Chung, N.T."
T3EX Global Holdings,"Rm601-7,Prosperity Millennia Plaza, 663 King's Rd.,Quarry Bay,HK."
T3EX Global Holdings,"Block G, 3/F & G/F G1 & Block H, G/ F, Yiu Lian Dockyard Ltd., 1-7 Sai Tso Wan Road, Tsing Yi, H.K."
T3EX Global Holdings,"Tai Hing Industrial Building, 3 Tsing Yeung Circuit, Tuen Mun, New Territories, Hong Kong"
T3EX Global Holdings,"Block H, Ground Floor, Yiu Lian Dockyard, 1-7 Sai Tso Wan Road, Tsing Yi, Hong Kong"
T3EX Global Holdings,"1103 Dongnan Building ,No. 258, Changle Road, Jiangdong District of the East New Town, Ningbo, Zhejiang Province, P.R.China 315040"
T3EX Global Holdings,"Room 908，CaiFu Place ，No527 West ZhongShan Road, XiuZhou District，JiaXing City，PRC 314031"
T3EX Global Holdings,"Room 528, Block B, Yiwu Port, NO.266, Chengxin Ave, Yiwu, Zhejiang, Province, China (322100)"
T3EX Global Holdings,"Room 508-1, Building B, Ocean International Center, No. 355, Jinhua South Road, Gongshu District, Hangzhou, Zhejiang, China 310005"
T3EX Global Holdings,"Room 1107 Dongnan Building ,No. 258, ChangLe Road, Jiangdong District of the East New Town,Ningbo City,Zhejiang Province, P.R.China 315040"
T3EX Global Holdings,"D2,2.Section, First Bonded Warehouse, First Hai Tian Road, Pudong, Shanghai City, 201202, China"
T3EX Global Holdings,"11F, Kaikai Plaza, No 888 Wanhangdu Road, Jinan District, Shanghai, 200042"
T3EX Global Holdings,"Rm.803,8F，Changhui building.,No.799,yin xiang road,Shanghai,P.R.China 201802"
T3EX Global Holdings,"No.536, Shenglong Road, Songjiang District, Shanghai"
T3EX Global Holdings,"Level 3,No.1439, Haixu Road, Shanghai, China (200137)"
T3EX Global Holdings,"Room 203, No.1 building, No21 Jinwen Road, Pudong New District, Shanghai"
T3EX Global Holdings,"Room 5F/Room F2, No.61 YangShuPu Road, Shanghai, P.R. China 200082"
T3EX Global Holdings,"10F, Kaikai Plaza, No 888 Wanhangdu Road, Jinan District, Shanghai, 200042"
T3EX Global Holdings," 	Room 327,Heji Plaza, No.666 East Ganjiang Road, Suzhou, Jiangsu Province, P.R.China 215005"
T3EX Global Holdings,"	Room 909, No.99 Changjiang Road, Nanjing, P. R. China 210005"
T3EX Global Holdings,"	Room 513, Area B, Daluqiao International Business Mansion, No.188 North Haitang Road,Lianyungang City P.R.China"
T3EX Global Holdings,"	Room J, 26th Floor, Block A, DongFang Plaza, No.343 Zhongshan Road, Cong'an District, Wuxi City, Jiangsu Province, P.R.China 214000"
Casfer Technologies,HNO 194-B FADTEWADDO VERODA CUNCOLIM SALCETE GOA MARGAO GA 403703 IN
Prophit Systems,"PO Box 213, Balgowlah NSW 2093, Australia"
Prophit Systems,"3333 Piedmont Road, Suite 2050, Atlanta, Georgia 30305, US"
Prophit Systems,"Level 29 Tower 1 Shanghai Jing An Kerry Centre, 1515 Nanjing West Road, Jing An District, Shanghai, CN"
Prophit Systems,"57 Mohamed Sultan Road, Singapore , 23, SG"
KSL Logistics,"3/4 R P garden Sahibabad Ghaziabad, Uttar Pradesh, 201005,"
KSL Logistics,"Gurgaon Road, Gurgaon, Haryana 122017, IN"
Raygain,"133, Ist Floor, Somdutt Chamber-1 5, Bhikaji Cama Place, New Delhi-110066."
Raygain,"8801 Independence Ave Unit#13,, Canoga Park, CA, USA, -Zip -91304, California, California 91304, US"
