Organization Name,Organization Name URL,Operating Status,Headquarters Location,Number of Employees,Description,Full Description,Industries,Founded Date,Founded Date Precision,Industry Groups,Top 5 Investors,IPO Status,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),Apptopia - Downloads Last 30 Days,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Number of Lead Investors,Number of Investors,Closed Date,Closed Date Precision,Estimated Revenue Range
Idle Free Systems,https://www.crunchbase.com/organization/idle-free-systems,Active,"Watertown, Wisconsin, United States",11-50,Idle Free Systems is a provider of year-round idle elimination solutions for trucks and school buses.,"Idle Free Systems, Inc. (""Idle Free"") is an innovative provider of complete, year-round idle elimination solutions for trucks and school buses. The Idle Free electric APU is The Complete Electric APU Solution,â„¢ offering drivers and fleet operators a flexible, cost-effective alternative to discretionary idling without compromising performance, cost savings, driver comfort, or environmental safety.","Electric Vehicle, Logistics, Software, Transportation",2003-01-01,year,"Software, Transportation",Kegonsa Capital Partners,Private,,,,Venture - Series Unknown,1295000,USD,1295000,Venture - Series Unknown,1295000,USD,1295000,1895000,USD,1895000,1895000,USD,1895000,2,1,1,,,$1M to $10M
Apptimized,https://www.crunchbase.com/organization/apptimized,Active,"Baar, Zug, Switzerland",11-50,Apptimized is an application logistics and cloud management platform.,,"Apps, Logistics, Software",2003-01-01,day,"Apps, Software, Transportation",,Private,"1,377",,,,,,,,,,,,,,,,,,,,,,
CSA Software,https://www.crunchbase.com/organization/csa-software,Active,"Livonia, Michigan, United States",11-50,CSA Software offers freight forwarding and logistics software solutions.,,"Freight Service, Logistics, Software",1982-01-01,day,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Destiny Software,https://www.crunchbase.com/organization/destiny-software,Active,"Anaheim, California, United States",1-10,Destiny Software offers guard management solutions that help security companies.,,"GPS, Logistics, Software",2005-01-01,year,"Hardware, Navigation and Mapping, Software, Transportation",,Private,"14,376","69,827.5",,,,,,,,,,,,,,,,,,,,,$1M to $10M
Soloplan Gmbh,https://www.crunchbase.com/organization/soloplan-gmbh,Active,"Weikersheim, Baden-Wurttemberg, Germany",101-250,Soloplan GmbH is a software company of the logistics sector.,,"Internet, Logistics, Software",1991-01-01,day,"Internet Services, Software, Transportation",,Private,20,,,,,,,,,,,,,,,,,,,,,,
Digital Cairo Software,https://www.crunchbase.com/organization/digital-cairo-software,Active,"Dammam, Ash Sharqiyah, Saudi Arabia",1-10,Simple Software solutions,"Offers Electronic Medical Records EMR, Educational, and Logistics software as well as childcare gigs and driving lessons apps.","Mobile Apps, Software",2008-04-01,day,"Apps, Mobile, Software",,Private,,,"29,864",,,,,,,,,,,,,,,,,,,,
Key Software Systems,https://www.crunchbase.com/organization/key-software-systems,Active,"Farmingdale, New Jersey, United States",11-50,Key Software Systems provides delivery management software.,,"Logistics, Software",,,"Software, Transportation",,Private,"1,897","2,993.33",,,,,,,,,,,,,,,,,,,,,
CGSI,https://www.crunchbase.com/organization/cgsi,Active,"Biguglia, Corse, France",11-50,CGSI provides integrated management software solution.,,"Finance, Logistics, Software",1988-11-07,day,"Financial Services, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Cargo Manager Systems,https://www.crunchbase.com/organization/cargo-manager-systems,Active,"Union, New Jersey, United States",1-10,"Cargo Manager Systems is a software provider to NVOCCs, freight forwarders, importers, and warehouses.",,"Freight Service, Logistics, Software",1987-01-01,day,"Software, Transportation",,Private,"75,958","105,990",,,,,,,,,,,,,,,,,,,,,
CORE Transport Technologies,https://www.crunchbase.com/organization/core-transport-technologies,Active,"Orlando, Florida, United States",51-100,"CORE Transport Technologies provides software, hardware and communication solutions to support the Transportation and Logistics industries.",,"Information Technology, Logistics, Software, Transportation",,,"Information Technology, Software, Transportation",,Private,388,,,,,,,,,,,,,,,,,,,,,,
Karta Technologies,https://www.crunchbase.com/organization/karta-technologies,Active,"San Antonio, Texas, United States",251-500,Karta Technologies is a Provider of information technology services.,"Provider of information technology services. The company is engaged in the development, designing and distribution of software products such as information assurance software, engineering software, logistics software, training software, healthcare management software, environmental science software and acquisition support software to U.S. government agencies.","Information Services, Information Technology, Software",1986-01-01,year,"Information Technology, Software",,Private,"5,383","6,006.33",,,,,,,,,,,,,,,,,,,,,
Tranzaura,https://www.crunchbase.com/organization/tranzaura,Active,"Limerick, Limerick, Ireland",1-10,Tachograph analysis and mobile workforce solutions for the transport industry.,"Tranzaura provides innovative technology solutions to the transport and distribution sector. The company’s award winning TranzTacho and TranzSafety software solutions allow transport companies to manage their tachograph compliance and daily safety check obligations in real time resulting in greater driver efficiency, up to 75% lower administration costs and reduction in vehicle downtime.  The Tranzaura vision is to become a world leader in the supply of driver management software to the transport and logistics industry. The company was founded in 2009 and is backed by senior software and transport industry professionals.","Logistics, Software, Transportation",2009-01-01,year,"Software, Transportation",,Private,35,,,,,,,,,,,,,,,,,,,,,,Less than $1M
CDM Software Solutions,https://www.crunchbase.com/organization/cdm-software-solutions,Active,"Frisco, Texas, United States",11-50,A Certified U.S. Customs compliance & logistics software provider to the international freight forwarding industry.,"Since 1988 the CDM Software suite of import, export and logistics software solutions provide international trade companies with reliable and efficient asset to increase growth, provide dynamic customer service and improve profitability. Their operational data service centers are located Santa Clara, CA, Houston, TX and Hong Kong. CDM Software Solutions is a leading provider of software solutions to Freight Forwarding, NVOCC, Export Packing, Warehouse, Exporting, Importing and Logistics companies. ","Logistics, Software, Supply Chain Management",1988-01-01,year,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Marlin AI,https://www.crunchbase.com/organization/marlin-ai,Active,"Bangalore, Karnataka, India",1-10,Marlin AI provides solutions powered by artificial intelligence for global logistics and supply chain.,,"Artificial Intelligence, Logistics, Software, Supply Chain Management",2020-01-01,year,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software, Transportation",,Private,536,,,,,,,,,,,,,,,,,,,,,,
Ultra Global PRT,https://www.crunchbase.com/organization/ultra-global-prt,Active,"Bristol, Bristol, City of, United Kingdom",11-50,Ultra Global PRT is designs and develops personal rapid transit systems for developed or urban environments.,"Ultra Global PRT designed, developed, built and now operates the world’s first commercially operational Personal Rapid Transit (PRT) system at London’s Heathrow Airport. The Ultra team comprises a balance of technical and operational experience and are recognized leaders in the transport systems industry. Originally an engineering research project to devise the optimum urban transport solution for the 21st century, Ultra began development in 1995 in association with the University of Bristol. In addition to the system at Heathrow which has been running since May 2011, Ultra is now working on the development of PRT systems in a number of locations within the United Kingdom and in countries across the world including India, Brazil, Malaysia and Taiwan.","Automotive, Information Technology, Logistics, Software, Transportation",1995-01-01,year,"Information Technology, Software, Transportation",,Private,175,,,,,,,,,,,,,,,,,,,,,,$10M to $50M
GPSGaadi,https://www.crunchbase.com/organization/gpsgaadi,Active,"New Delhi, Delhi, India",1-10,GPSGaadi is a leading provider of personal and vehicle tracking solution.,GPSGaadi is a leading provider of personal and vehicle tracking solution. GPS Gaadi provides high quality GPS Tracking Products to the customers and businesses all around the world. Call us at 1143122783 or mail us your query at info@gpsgaadi.com/,"Logistics, Software",,,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
FEX DMS,https://www.crunchbase.com/organization/fex-dms,Active,"Rancho Santa Margarita, California, United States",,"FEX DMS is the industry’s leading, web-based dealer management system.","FEX DMS is the industry’s leading, web-based dealer management system. FEX DMS accommodates all aspects of vehicle management, including expenses, valuations, descriptions and inventory online vehicle distribution. Additional FEX DMS modules include the most advanced loan servicing platform for BHPH operations with FEX EPS integration and connectivity to lenders, including Route One. Priced based on size of dealership, FEX DMS does not demand a long term contract and all agreements are month-to-month.","Automotive, Consumer Software, Internet, Logistics, Software",2001-01-01,year,"Internet Services, Software, Transportation",Automotive Finance Corporation,Private,"10,833","23,851.5",,Corporate Round,,,,Corporate Round,,,,,,,,,,1,1,1,,,
VOOOM,https://www.crunchbase.com/organization/vooom,Active,"Cairo, Al Qahirah, Egypt",11-50,VOOOM provides delivery service for various every-day essentials and software development such as websites & applications for businesses.,,"Delivery, E-Commerce, Logistics, Software",2019-01-01,year,"Administrative Services, Commerce and Shopping, Software, Transportation",,Private,53,,,,,,,,,,,,,,,,,,,,,,
TodoVa,https://www.crunchbase.com/organization/todova,Active,"Santiago, Region Metropolitana, Chile",11-50,"TodoVa is a technological platform that allows to make dispatches of all kinds of products in a fast, efficient and comfortable way.",,"Collaborative Consumption, Delivery Service, E-Commerce, Logistics, Software, Transportation",2016-08-08,day,"Commerce and Shopping, Other, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
ScanSKU,https://www.crunchbase.com/organization/scansku,Active,"Melbourne, Victoria, Australia",,Logistics Technlogy Hardware and Software Providor,,"Automotive, Computer, Hardware, Logistics, Software",2015-11-19,day,"Consumer Electronics, Hardware, Software, Transportation",,Private,"1,631","3,480.67",,,,,,,,,,,,,,,,,,,,,
Chess Logistics Technology,https://www.crunchbase.com/organization/chess-logistics,Active,"Manchester, Manchester, United Kingdom",11-50,Chess Logistics Technology provides software and integrated hardware solutions for warehouse management and logistics support.,Chess Logistics Technology provides software and integrated hardware solutions for warehouse management and logistics support.,"Hardware, Logistics, Software, Warehousing",1979-01-01,day,"Hardware, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
iInterchange,https://www.crunchbase.com/organization/iinterchange,Active,"Chennai, Tamil Nadu, India",,iInterchange is software that is used by the shipping and logistic industry to manage cargo and data management solutions.,,"Logistics, Software, Trading Platform",2004-01-01,year,"Financial Services, Lending and Investments, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
Athenas,https://www.crunchbase.com/organization/athenas-s-a,Active,"Rio De Janeiro, Rio de Janeiro, Brazil",11-50,Athenas develops innovative technology products to improve logistics operations.,"Athenas develops innovative technology products to improve logistics operations. It aims to provide innovative and integrated logistics solutions with high reliability in order to allow customers to maximize revenue streams, to reduce costs, and ensure its legal compliance.","Industrial Automation, Information Technology, Logistics, Software",1997-01-01,year,"Information Technology, Manufacturing, Science and Engineering, Software, Transportation",21212,Private,,,,Seed,,,,Seed,,,,,,,,,,1,,1,,,$1M to $10M
Zoopit,https://www.crunchbase.com/organization/zoopit,Active,"Oslo, Oslo, Norway",1-10,Zoopit is an IT firm that provides software solutions that helps in the digitalization of distribution and logistics services.,,"Information Technology, Logistics, Software",2014-01-01,day,"Information Technology, Software, Transportation",,Private,370,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Tranzlogix Solutions,https://www.crunchbase.com/organization/tranzlogix-solutions,Active,"Roswell, Georgia, United States",,Tranzlogix specializes in Integrated logistics solutions and helps to reduce operational costs.,,"Logistics, Software, Supply Chain Management",2012-01-01,day,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
dbh Logistics,https://www.crunchbase.com/organization/dbh-logistics,Active,"Bremen, Bremen, Germany",101-250,"Dbh is a logistics firm that provides software on SAP, port, and cloud services for customs and foreign trade.",,"Consulting, Logistics, Software",1973-01-01,day,"Professional Services, Software, Transportation",,Private,"8,966","7,459.5",,,,,,,,,,,,,,,,,,,,,$10M to $50M
MagicLogic Optimization,https://www.crunchbase.com/organization/magiclogic-optimization,Active,"Vancouver, British Columbia, Canada",11-50,MagicLogic is Load Planning software .,"MagicLogic specializes in extending, enhancing and customizing its products to “fit the bill.” A large proportion of our business comes directly from consultancy to businesses who wish to leverage the power of the Cube-IQ optimizers and software, but have specific requirements. Over 50% of our clients are using versions of Cube-IQ that were customized to their needs.","Logistics, Software, Supply Chain Management",1995-01-01,year,"Software, Transportation",,Private,99,,,,,,,,,,,,,,,,,,,,,,Less than $1M
"American Product Distributors, Inc.",https://www.crunchbase.com/organization/american-product-distributors-inc,Active,"Charlotte, North Carolina, United States",101-250,American Product Distributors is a business supplies company specializing in supply chain management software.,,"Logistics, Software",,,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$10M to $50M
Cadence Data Soft Pvt. Ltd.,https://www.crunchbase.com/organization/cadence-data-soft,Active,"Pune, Maharashtra, India",1-10,Software Development Services Company,"What do we do? We are “Digital Transformation Services Company” focusing on building Cloud Native Applications, Storage, Networking, and WebUI technologies. We provide uncompromised, high quality enterprise class software development services. Following are the services that we offer Services: • Software Product Sustaining • Emerging Technologies POC • Hosted Engineering • Product Verification • Qualification - Logo Certification • Licensing & Packaging • Technical Support Domains: • Digital Transformation Services • Cloud Native Applications • Systems Software • Core Storage • Virtualization Cloud • Network & Data Security • WebUI • Desktop Applications How do we do? We believe in built-in quality, so we prefer agile processes. Agile Scrum is our choice, but we adapt to processes laid out by our customers, this helps them extend the team smoothly.   How do we stand apart? We are doing one thing at a time & staying focused on it, to make sure that we deliver our best. Our investment is focused on procuring and development of custom tools that will automate, assist development / testing of software. We believe we have unmatched processes when it comes to developing, sustaining products, POC or WebUI. This enables us to simply deliver results consistently.","Cloud Computing, Fashion, Logistics, Software",2006-01-01,year,"Clothing and Apparel, Design, Internet Services, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,Less than $1M
Alerce,https://www.crunchbase.com/organization/alerce,Active,"Zaragoza, Aragon, Spain",51-100,"Alerce provides solutions and software for transport, logistics and courier.",,"Information Technology, Logistics, Software, Supply Chain Management",1989-01-01,day,"Information Technology, Software, Transportation",,Private,"1,546","2,164.83",,,,,,,,,,,,,,,,,,,,,
BrandLink,https://www.crunchbase.com/organization/brandlink,Active,"Sydney, New South Wales, Australia",11-50,Logistics Software and Services Provider to the FMCG industry,,"Freight Service, Logistics, Software",2012-01-01,year,"Software, Transportation",,Private,271,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Regent Systems,https://www.crunchbase.com/organization/regent-systems,Active,"Dayton, Ohio, United States",101-250,Regent Systems is a technical services company that helps in integrating information solutions for defense communities.,,"Consulting, Information Technology, Logistics, Software, Technical Support",,,"Information Technology, Other, Professional Services, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Leanware,https://www.crunchbase.com/organization/leanware,Active,"Tampere, Western Finland, Finland",51-100,We develop information systems that enhance the operative work of factories and logistics centres,,"Information Technology, Logistics, Software, Transportation",1999-01-01,year,"Information Technology, Software, Transportation",,Private,"1,024",,,,,,,,,,,,,,,,,,,,,,Less than $1M
Loginet,https://www.crunchbase.com/organization/loginet,Active,"Leningrad, Saint Petersburg City, Russian Federation",11-50,SAAS logistics software connecting parties,Logistics,"Advertising Platforms, Logistics, SaaS, Shipping, Shipping Broker, Software, Trading Platform, Transportation",2011-01-02,day,"Advertising, Financial Services, Lending and Investments, Software, Transportation",,Private,"26,854","32,992",,,,,,,,,,,,,,,,,,,,,$1M to $10M
LOAD2GO,https://www.crunchbase.com/organization/load2go-a19c,Active,,11-50,Logistics Platform. The future of logistics and supply chain by empowering truck drivers to become trucking companies.,"LOAD2GO for Trucking companies: If you are a trucking company with 1-5 drivers we want to start a partnership with you. LOAD2GO is a mobile platform application that helps to run the trucking business on your phone. We offer combined load sources and show market price on each load for you to be able to compare it’s prices. 24/7/365 professional customer service to assist with anything you need: from finding truck and trailer rental, assistance in booking the best load for your drivers, insurance to legal assistance in safety and billing support. LOAD2GO for CDL Drivers: We believe that professional CDL drivers who start running their own trucking company are able to make more money and enjoy their life-work balance. LOAD2GO can assist  with getting your own MC and DOT  authority, find equipment if needed, consult about insurance options and safety compliance for your new business. LOAD2GO for Freight Brokers: Free of charge integrations with freight brokers to improve transportation by carefully picked carriers and professional drivers. We offer direct communication with the driver, live tracking for the shipment from pickup point to delivery point and 24/7/365 customer service to assist with any questions. LOAD2GO for Shippers and Receivers: Lack of drivers and carriers who pick up and deliver goods safely, on time and for reasonable prices result in a supply chain crisis. We offer marker prices for each load you want to ship. LOAD2GO helps to save thousands on transportation while supporting you during the transportation process and beyond. LOAD2GO for Trucking, Logistics and Supply Chain Service Providers: Vendors in trucking, logistics and supply chain, we seek to work with you. We are committed to make the process easier and more efficient for any driver, trucking company, freight broker and customer. At LOAD2GO we believe that a strong and professional network can make a difference and move the supply chain to the next level.","Logistics, Software, Supply Chain Management, Transportation",2021-03-01,month,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
XBE,https://www.crunchbase.com/organization/xbe,Active,"Kansas City, Missouri, United States",11-50,"XBE is a provider of technology-based construction material logistics solutions, software, and chemistry products.",,"Information Technology, Logistics, Software",2017-01-01,year,"Information Technology, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
KOM Automation,https://www.crunchbase.com/organization/kom-automation,Active,"Amherst, New York, United States",11-50,KOM Automation is an industrial automation company that offers industrial automation distribution services.,"KOM Automation is an industrial distributor of high tech factory automation hardware and software. With roots dating back to the beginning of the industrial automation era, and combined experience of more than 100 years, KOM Automation knows what works and what doesn’t. They are the supplier of non-contact sensors, PLCs, operator interfaces, PC control and HMI software, counters, timers, encoders, temperature and process controllers, and safety devices.","Automotive, Computer, Industrial Automation, Logistics, Software",,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
"Flat World Supply Chain, LLC",https://www.crunchbase.com/organization/flat-world-supply-chain-llc,Active,"Fallon, Montana, United States",11-50,Flat World Supply Chain is a logistics company that offers supply chain management and technology solutions.,"Flat World Supply Chain delivers innovative logistics and supply chain solutions through customized technology. Flat World Supply Chain solutions are specifically designed to increase productivity, create efficiency, record and report results and to save money. Our solutions are delivered through proprietary software that is completely customizable and is able to integrate with almost any Enterprise Resource Planning (ERP) or operating system.","Information Technology, Logistics, Software, Supply Chain Management, Transportation",2006-01-01,year,"Information Technology, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$10M to $50M
Unified Parking Partners,https://www.crunchbase.com/organization/unified-parking-partners,Active,"Portland, Maine, United States",11-50,"Unified Parking Partners is a full service parking management company based in Portland, Maine.",,"Logistics, Software",,,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$10M to $50M
Intris,https://www.crunchbase.com/organization/intris,Active,"Antwerp, Antwerpen, Belgium",11-50,It supports all the links in the global supply chain and anticipates in a fast changing market.,"Intris supports all the links in the global supply chain and anticipates in a fast changing market. Their solutions are always based on the business processes of their clients. As a software partner, Intris guarantees sustainable and transparent solutions that allow its clients to manage all business processes. ","Logistics, Software, Supply Chain Management",1994-01-01,year,"Software, Transportation",,Private,596,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
MechanicNet,https://www.crunchbase.com/organization/mechanicnet,Active,"Pleasanton, California, United States",101-250,An innovator of technology and provider of customer retention services specific to the automotive aftermarket.,"MechanicNet Group, Inc. is an innovator of technology and provider of customer retention services specific to the automotive aftermarket. With 14 years of leadership in delivering Customer Retention Systems CRM and services to customers including General Motors and Genuine Parts Company. MechanicNet has a proven history of both providing turnkey technologies to Automotive Service Centers as well as managing corporate scale development and deployment projects. In delivering right sized solutions to each customer, they bring to bear a team deep in automotive aftermarket domain expertise, supply chain strategy knowledge, and technology development experience.","Automotive, Information Technology, Logistics, Software",1998-01-01,year,"Information Technology, Software, Transportation",,Private,"41,282","52,347",,,,,,,,,,,,,,,,,,,,,$1M to $10M
AARENET AG,https://www.crunchbase.com/organization/aarenet-ag,Active,,,AareNet expanding its offering with a VoIP desktop client with integrated auto-provisioning functionality.,,"Automotive, Logistics, Software, Transportation",,,"Software, Transportation",,Private,,,73,,,,,,,,,,,,,,,,,,,,
OPSI Systems,https://www.crunchbase.com/organization/opsi-systems,Active,"Johannesburg, NA - South Africa, South Africa",51-100,OPSI Systems provides software solutions and consulting for transport planning and optimization.,,"Logistics, Software, Supply Chain Management",1997-01-01,year,"Software, Transportation",,Private,"1,186",,,,,,,,,,,,,,,,,,,,,,
Redspher,https://www.crunchbase.com/organization/redspher,Active,"Contern, Luxembourg, Luxembourg",501-1000,Redspher is europe's most seamless platform for on demand delivery.,,"Logistics, Software, Transportation",2018-01-01,year,"Software, Transportation",,Private,"4,950","1,581.67",,,,,,,,,,,,,,,,,,,,,
KMM,https://www.crunchbase.com/organization/kmm-0ada,Active,"Ponta Grossa, Parana, Brazil",251-500,KMM is a technology company with a mission to transform logistics in Brazil.,,"Information Technology, Logistics, Software",1998-01-01,year,"Information Technology, Software, Transportation",,Private,"18,119",,,,,,,,,,,,,,,,,,,,,,$10M to $50M
SkyChart,https://www.crunchbase.com/organization/skychart,Active,"Itajaí, Santa Catarina, Brazil",11-50,"Skyline Cargo is a Logistics Software developed for air airlines, NVOCCs and air freight that need a complete, secure and unified system.",,"Computer, Logistics, Software",2017-01-01,day,"Consumer Electronics, Hardware, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
SmartBee Intelligence,https://www.crunchbase.com/organization/smartbee-intelligence,Active,"Taipei, T'ai-pei, Taiwan",11-50,SmartBee is a multinational software service provider focusing on the core competitiveness of the global logistics industry.,,"Information Technology, Logistics, Software",2019-01-01,year,"Information Technology, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
"ScreenTek, Inc.",https://www.crunchbase.com/organization/screentek-inc,Active,"Houston, Texas, United States",101-250,"ScreenTek, Inc is a Screen repair service specializing the sale of laptop LCD screens and replacement parts.",,"Logistics, Software",2001-06-01,day,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$10M to $50M
Inner Circle Logistics,https://www.crunchbase.com/organization/inner-circle-logistics,Active,"Virgin, Utah, United States",11-50,Provide International Reach and an unprecedented level of access to Supply Chain Information.,"ICLogistics is a “Net-Centric” solutions company that specializes in supply chain integration and international trade facilitation strategies using web-based software and data hosting solutions. The firm offers integration solutions that connect businesses, large and small, with suppliers, customers, and governments to enhance supply chain management and revenue flow. The company has developed a suite of proprietary software products and services that allow business partners to search and share critical information seamlessly and in real-time, regardless of software platform or technical sophistication, in a secure and reliable infrastructure. Specific rights are provided by US Patents and protection extends to India and the European Union (EU). ICLogistics has used this business platform to launch a number of wholly owned subsidiaries and global joint ventures that tackle the multi-faceted issues of supply chain integration and third party logistics in the 21st Century.","Computer, Logistics, Software",1998-01-01,year,"Consumer Electronics, Hardware, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Hi-G-Tek,https://www.crunchbase.com/organization/hi-g-tek,Active,"Rockville, Maryland, United States",11-50,Hi-G-Tek is a developer of a RFID platform that monitors assets and commercializes technology enabled cost-effective wireless solutions.,"Hi-G-Tek is the developer of a new active-RFID platform for real-time monitoring and control of critical physical assets. Their company is commercializing patented technology that enables low power, cost-effective wireless solutions for monitoring, assessing and protecting high-value physical assets and sensitive materials. Their unique solutions provide unprecedented levels of real-time security and â€œsensingâ€ of key assets, whether stationary or in transit, indoors or outdoors.","Hardware, Logistics, Software, Supply Chain Management",1989-01-01,year,"Hardware, Software, Transportation","L Capital Partners, Battelle Ventures, Innovation Valley Partners",Private,,,,Venture - Series Unknown,2500000,USD,2500000,Convertible Note,1000000,USD,1000000,18000000,USD,18000000,22260000,USD,22260000,5,2,3,,,$10M to $50M
Distribution Innovation,https://www.crunchbase.com/organization/distribution-innovation,Active,"Oslo, Oslo, Norway",11-50,Distribution Innovation is an IT company that provides customized solutions to optimize logistics operations for companies.,,"Information Technology, Logistics, Software",2001-01-01,day,"Information Technology, Software, Transportation",,Private,"49,262","89,516.83",,,,,,,,,,,,,,,,,,,,,$1M to $10M
Veroot,https://www.crunchbase.com/organization/veroot,Active,"Berea, Ohio, United States",11-50,"Veroot designs and develops compliance and vendor management software in logistics to manage, analyze, and minimize business risks.",,"Compliance, Enterprise Software, Logistics, Software",2011-01-01,day,"Professional Services, Software, Transportation",,Private,"10,775","15,983.83",,,,,,,,,,,,,,,,,,,,,
Fraunhofer ISST,https://www.crunchbase.com/organization/fraunhofer-isst,Active,"Dortmund, Nordrhein-Westfalen, Germany",51-100,Fraunhofer ISST is a software and systems engineering company located in Dortmund.,,"Cloud Computing, Information Technology, Logistics, Software",1992-01-01,day,"Information Technology, Internet Services, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
Proxio Systems,https://www.crunchbase.com/organization/proxio-systems,Active,"Västra Frölunda, Vastra Gotaland, Sweden",1-10,Proxio Systems is a Logistics and Supply Chain company.,"Proxio provides the Transport and Logistics World efficient tools for transportation visualization, analysis and simulation. Proxio provides solutions for companies to gain control of their transportation costs and to calculate the environmental impact. Proxio was founded in 2014. All product development and support is managed by Proxio Systems and accredited partners. Proxio is headquartered in Gothenburg, Sweden.","Logistics, Software, Supply Chain Management, Transportation",2014-01-01,year,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,Less than $1M
2Is,https://www.crunchbase.com/organization/2is,Active,"Walpole, Massachusetts, United States",11-50,2Is focuses on the defense and space industry with the development of decision support tools to solve supply chain and logistics challenges.,,"Aerospace, Logistics, Software",2002-01-01,year,"Science and Engineering, Software, Transportation",,Private,"1,224",,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Starview International,https://www.crunchbase.com/organization/starview-international,Active,"Singapore, Central Region, Singapore",11-50,"SVI provides professional services such as deployment service, remote technical support, on-site support, spare parts management.",,"Consulting, Information Technology, Logistics, Software, Telecommunications",2010-01-01,year,"Hardware, Information Technology, Professional Services, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Transport Data Systems,https://www.crunchbase.com/organization/transport-data-systems,Active,"Brookings, South Dakota, United States",1-10,Transport Data Systems provides IT solutions for the transportation and logistics industry.,,"Logistics, Software, Transportation",1987-01-01,day,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,Less than $1M
3Dtracking,https://www.crunchbase.com/organization/3dtracking,Active,"California City, California, United States",11-50,3Dtracking is a telematics platform provider.,"3Dtracking provides real-time monitoring and detailed reporting, allowing logistics providers to monitor & verify driver timesheets, control overtime expenses and reduce fuel and maintenance costs. They provide real-time tracking for precision farming and vehicle activity monitoring and offer security providers the tools to monitor working hours.","Agriculture, Construction, Logistics, Software",2005-01-01,year,"Agriculture and Farming, Real Estate, Software, Transportation",,Private,"18,184","3,907.5",,,,,,,,,,,,,,,,,,,,,Less than $1M
Cyberfreight,https://www.crunchbase.com/organization/cyberfreight,Active,"Rockdale, New South Wales, Australia",,Cyberfreight is a freight logistics software business. The company provides a software suite for freight forwarders and brokers.,Cyberfreight is a freight logistics software business. The company provides a software suite for freight forwarders and brokers.,"Logistics, Software",2012-01-01,year,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
LOGEVO,https://www.crunchbase.com/organization/logevo,Active,"Älmhult, Kronobergs Lan, Sweden",11-50,LOGEVO develops picking and storage system that provides automated logistics solutions.,,"Logistics, Software, Supply Chain Management",2001-01-01,day,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
EquusNox,https://www.crunchbase.com/organization/equusnox,Active,"Gainesville, Georgia, United States",51-100,"EquusNox is a software and service company that facilitates transactions, transportation, logistics and pricing.",,"Logistics, Software, Transportation",2014-01-01,year,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
