,Late reviews
301,long pickup long delivery courier gave fake report pick operating hour pm pick day disappointed ...
303,disappointing expecting ninja service fast turned far expected disappointing fact package took long time arrive even ninja service ...
325,last year using ninja express buy red onion bekasi bekasi eeeh package strayed north jakarta complaint etc finally arrived day later dont think onion one ...
328,really bad shopping online using courier feel like shopping abroad even shopping abroad long using xpress ninja ...
330,long oath annoying ordered yesterday doesnt arrive ...
339,package sent dated july estimation received dated july pa july arrived ga package check cek latest news still transit jakarta pa new email dial bale ternal damage package ga ...
344,slow expedition service promise day package received week package isnt clear contacted call center one answered intention make expedition ...
347,ninja come delivery slow need show olshop anymore dont think ive waiting stuff isnt home either ...
349,want complain good lazada canceled ninja express courier kendari package already week im late reply chat minute directly returned seller damn ...
355,sorry use ninja express long time delivery like fast delivery ...
358,worst shipping service ever many late even many package lost
359,expedition slow clear morning tracking status sent address notification lg transit transit transit come come ninja different ...
383,kapokkkkkapokkkk us ninjaaaa crazy crazy crazy long time ago already warehouse depokkk kaga sent send want know address kaga visaa let take alone aaaaa kaga use ...
390,cant star worst expedition ever take long time call j sicepat jne fellow jakarta le day ninja express day said ...
391,taking long use ninja like regret use even good arrived still stuck sorting hub got complaint want use eid ...
392,uda day package item sent recipient address even though need stuff courier really slow longer use ninja xpress ...
396,recommended expedition slow clever courier longer use ninja name ninja according name really smart dont know first package ...
402,regret using hasnt day yet stuff change name dont use express use slow ...
406,severe slow first last use slow ninja
407,service good long delivery phone instead lifted instead mulu ruin ...
422,bad service expedition take long time
425,shop online first check expedition push ninja express worst expedition long time ...
431,aseli first time using long time status unclear call center called star talk 1/2 star ill give star ...
442,completely disappointing delivery service enter shopee marketplace order good city pasuruan jakarta day new item picked entered hun sorting pasuruan day later ...
445,long time lelet pick sorry use ninja never use ninja send good ...
452,express ninja turtle name crazy day ago still sorting hub status slow even though order used another courier expedition arrived kapok use ninja express ...
464,slow customer complain work
476,ninja like snail long called dozen time status transit item unclear transit clear ...
493,package arrived week customer service friendly slowest expedition indonesia kapok use npres xpres ...
499,ugly slow disappointing
507,bad delivery poor people close whichever choice long time close ...
511,longer using ninja experience give crazy oclock courier said package successful first said tomorrow immediately deliver destination wait one come ...
517,disappointed ninja express courier slow didnt want check receipt didnt work package dont know ...
537,longer use courier back jn faster clearer ...
545,bad service slow pick olshop given star star suitable ninja ...
546,lifetime ninja slow packet doesnt arrive ...
556,disappointed pick process slow apalagi process delivery good courier location known office party ...
581,first time using expedition result unsatisfactory delivery take almost day package arrives damaged want ask accountability admin slow response gosh ...
615,shipment took almost month arrive far longer overseas shipment investigation report made still clarity ...
631,kapok using ninja always time even though today information sent late night doesnt arrive time information fails send sent like ...
634,like sending long time ago send recipient want criticize sale response document recipient like worn even torn even though cooperated service ...
637,bad read review way want register partner seller slow response want swear office immediately sale general os xena warrior ...
644,ca n't track package website long delivery time mistake choosing service
656,slow already disappointed lambatt really
665,use ninja cod service complaint disbursement money quite long old package arrived package lost bill includes weight appropriate kg written kg ...
680,commitment delivery time estimated late week ...
685,want use one service service messy long time c stupid package arrived month later called many time angry sent lazada ...
689,dont recommend use delivery courier bad service slow respond customer service delivery time bad worst delivery courier indonesia
691,close xpres ninja long service many time spend using ninja service disappointing surgery jne j ...
714,want lazada ninja disappointed driver doesnt know way shipping time like dispatch unilaterally delivery good ...
718,ive using messenger long time disappointed order didnt come ...
795,lazada seller lost lot ninja delivery service trustworthy long hand package always return reason clear week good finally return good ...
810,delivery bekasi cikarang maybe day another courier online store would choose another courier slowness sting death give choosing courier ...
814,bad expedition estimate late
836,problem long delivery normal disappointed one ninjaid courier seemed cheat deliver package night paid thousand courier said ...
846,delivery took long time one contact c dont recommend ...
849,bad long time status still way hadeeuh employee gave star sure ...
852,hoax ninja ad work slow like snail ...
859,package delivery failed twice send last night failed lateness next day priority ...
872,tried call c waiting long time one pick bad delivery service always wrong pickup month running always wrong reprimanded start ...
878,im little disappointed delivery really slow
894,first time used ninja really disappointed wouldnt use another delivery service longest one week jakarta ...
901,real badly slow ninja nearly week stuff ...
906,name express ninja changed snail ninja delivery took long unclear
913,wow bad package took really long time stop moving want use work sad
918,worth long delivery like jne jt tiki lex sicepat ...
919,good arrived please provide info ninja express balikpapan package take long arrive even though already balikpapan parcel sent checked ...
937,shoope delivery service cant choose right ordered yesterday got ninja xpress swear many people keep sending take long time safe ...
954,bro package package really late got email supposed arrive yesterday instead failed send xpress trade hadehhh gimna si ...
957,ninja express took long time ship march really bad order old stuff arrives ...
958,day package cakung latest update ...
979,bad old service like expedition outside city one day city really long ...
981,bad service lack information solution late delivery
984,longest original shipping expedition disappointed badly ...
1016,expedition feature call center slow clear delivery hasnt arrived even though jakarta depok outside jabodetabrk could ...
1021,longest expeditionary service pdhal send together one j problem bring lot good courier also bring lot stuff anyway give jt ...
1023,worse come package didnt arrive didnt move using service arrived using severe express ninja service change name slow ninja ...
1036,ninja express slow deliver seler pick good jakarta cmn bandar lampung still jakarta sorry use ninja express disappointedaaaaaaaaa ...
1042,disappointed many time delivery expedition really long even though sent seller monday bandung friday afternoon courier telephoned asking address ...
1045,umpteenth time disappointed xpress ninja package always take long time pick ask pickup thursday hasnt picked yet tlp c already ad dont change ...
1049,package hasnt arrived im sorry used service long time couldnt move fast ...
1081,many new expedition time disappointed package picked according schedule took directly partner turned took long time pick huftt ...
1085,long pickup long delivery courier gave fake report pick operating hour pm pick day disappointed ...
1087,disappointing expecting ninja service fast turned far expected disappointing fact package took long time arrive even ninja service ...
1109,last year using ninja express buy red onion bekasi bekasi eeeh package strayed north jakarta complaint etc finally arrived day later dont think onion one ...
1112,really bad shopping online using courier feel like shopping abroad even shopping abroad long using xpress ninja ...
1114,long oath annoying ordered yesterday doesnt arrive ...
1123,package sent dated july estimation received dated july pa july arrived ga package check cek latest news still transit jakarta pa new email dial bale ternal damage package ga ...
1128,slow expedition service promise day package received week package isnt clear contacted call center one answered intention make expedition ...
1131,ninja come delivery slow need show olshop anymore dont think ive waiting stuff isnt home either ...
1133,want complain good lazada canceled ninja express courier kendari package already week im late reply chat minute directly returned seller damn ...
1139,sorry use ninja express long time delivery like fast delivery ...
1142,worst shipping service ever many late even many package lost
1143,expedition slow clear morning tracking status sent address notification lg transit transit transit come come ninja different ...
1167,kapokkkkkapokkkk us ninjaaaa crazy crazy crazy long time ago already warehouse depokkk kaga sent send want know address kaga visaa let take alone aaaaa kaga use ...
1174,cant star worst expedition ever take long time call j sicepat jne fellow jakarta le day ninja express day said ...
1175,taking long use ninja like regret use even good arrived still stuck sorting hub got complaint want use eid ...
1176,uda day package item sent recipient address even though need stuff courier really slow longer use ninja xpress ...
1180,recommended expedition slow clever courier longer use ninja name ninja according name really smart dont know first package ...
1186,regret using hasnt day yet stuff change name dont use express use slow ...
1190,severe slow first last use slow ninja
1191,service good long delivery phone instead lifted instead mulu ruin ...
1206,bad service expedition take long time
1209,shop online first check expedition push ninja express worst expedition long time ...
1215,aseli first time using long time status unclear call center called star talk 1/2 star ill give star ...
1226,completely disappointing delivery service enter shopee marketplace order good city pasuruan jakarta day new item picked entered hun sorting pasuruan day later ...
1229,long time lelet pick sorry use ninja never use ninja send good ...
1236,express ninja turtle name crazy day ago still sorting hub status slow even though order used another courier expedition arrived kapok use ninja express ...
1248,slow customer complain work
1260,ninja like snail long called dozen time status transit item unclear transit clear ...
1277,package arrived week customer service friendly slowest expedition indonesia kapok use npres xpres ...
1283,ugly slow disappointing
1291,bad delivery poor people close whichever choice long time close ...
1295,longer using ninja experience give crazy oclock courier said package successful first said tomorrow immediately deliver destination wait one come ...
1301,disappointed ninja express courier slow didnt want check receipt didnt work package dont know ...
1321,longer use courier back jn faster clearer ...
1329,bad service slow pick olshop given star star suitable ninja ...
1330,lifetime ninja slow packet doesnt arrive ...
1340,disappointed pick process slow apalagi process delivery good courier location known office party ...
1365,first time using expedition result unsatisfactory delivery take almost day package arrives damaged want ask accountability admin slow response gosh ...
1399,shipment took almost month arrive far longer overseas shipment investigation report made still clarity ...
1415,kapok using ninja always time even though today information sent late night doesnt arrive time information fails send sent like ...
1418,like sending long time ago send recipient want criticize sale response document recipient like worn even torn even though cooperated service ...
1421,bad read review way want register partner seller slow response want swear office immediately sale general os xena warrior ...
1428,ca n't track package website long delivery time mistake choosing service
1440,slow already disappointed lambatt really
1449,use ninja cod service complaint disbursement money quite long old package arrived package lost bill includes weight appropriate kg written kg ...
1464,commitment delivery time estimated late week ...
1469,want use one service service messy long time c stupid package arrived month later called many time angry sent lazada ...
1473,dont recommend use delivery courier bad service slow respond customer service delivery time bad worst delivery courier indonesia
1475,close xpres ninja long service many time spend using ninja service disappointing surgery jne j ...
1498,want lazada ninja disappointed driver doesnt know way shipping time like dispatch unilaterally delivery good ...
1502,ive using messenger long time disappointed order didnt come ...
