,Unnamed: 0,Shopee ID Reviews
26,26, Missing photo. Where do you put your goods? It's crazy that this is the greatest expedition. …
27,27,Bad service.
28,28, For delivery too long. Please fix.  
29,29," SPXID023939187332 My package has been 5 days and it hasn't arrived, how is it …"
30,30," The experience of using Shopee Express services is getting more and more unpleasant. When I lived in Cicadas, my COD package was returned to the seller without my telephone/WA courier during the delivery process. I …"
31,31, Tired of using this expedition!!!  
32,32, My package has been 9 days and there is no movement to be sent from Bandung to Palangkaraya Is the courier sane or crazy …
33,33," the most ruined expedition, the courier was asked clearly and not friendly #BAD ATTITUDE …"
34,34," The courier is not polite, there is no attitude. Just send a package to play and throw it.. try giving Willy the SP …"
35,35, So far it doesn't disappoint  
36,36, CRAZY  
37,37," Why are the reviews all negative, huh... I've been using Shopee Express for a long time... Maybe negative feedback from foam consumers is used as input/feed for Shopee Express KDP. Can be fixed.. …"
38,38," How is Shopee Express's responsibility for the item's status in the apk, the item has been received, but the item hasn't arrived, the courier's name is Tatawan, the person is songong, I hope there will be action from …"
39,39, Wow!!! My package from Bandung to Makassar has not been sent yet. Why did you keep it there for so long? Njirr really regrets using this useless expedition. This is my first and last time using shopee express bgst …
40,40," The courier didn't know where to send it to the office address, I don't know where it was sent. It was received by Mr. Agus, clearly at the location, there is no such thing as Agus …"
41,41," The item has not arrived home, the status has been returned to the sender because the delivery attempt failed …"
42,42," Looking for a shopee express hub in Bandung, I found out that I saw this assessment post, which the majority of it contained, was disappointed. So it's great to want to join in the comments, because my experience so …"
43,43," The attempted package delivery was postponed due to insufficient time. Just like that, it's been 2 times. …"
44,44," How does this work, how many days hasn't it arrived"", it should have arrived since Thursday, but I've been waiting for it ""until Sunday, the item hasn't arrived yet. What is this responsibility? …"
45,45, Why the aing package has not come is also just  
46,46, It is not my intention to work  
47,47, Just tried shopping with shopee. the champion has waited a long time for the package. …
48,48," TODAY DECEMBER 8, 2021  Where is my package?! It hasn't arrived yet! Until now December 8th! It's …"
49,49," The delivery was very slow.. there was a shopee customer service asking where the warehouse was, I couldn't tell.. the package in the description is being sorted and it's not clear... I want to use mine today. I'll be …"
50,50," There's no contact number, my package didn't arrive until the 3rd time, it's like this, please give me the web number, if it's not in a rush, I want to take the package, it's someone's order …"
51,51," My item hasn't arrived this week, the delivery status is like that, it was sent to my location but it didn't arrive until late at night, even though it was delayed because there wasn't enough time, yesterday was the …"
52,52, No need to use reviews... Other people's reviews are representative.... …
53,53," It's been so long, it's been 2 times like this and the package arrived in 2 weeks, it's really worse than estimated :"
54,54," Basically, I don't believe in shopee expeditions anymore  "
55,55," It's not clear if the package is not delivered, then there's no contact number, it's different from the neighbors, if there's a problem, it's easy to complain. …"
56,56, It's been a long time and it's not really slow!!!  
57,57, Please be professional like other couriers... the delivery exceeded the estimate.. I've been disappointed several times.. if there's no change... we can leave it. …
58,58," Very bad, shipping took so long  "
59,59," From the shopee application, at 07 in the morning it was sent by the courier but until now it hasn't come, it's not like other couriers …"
60,60, The package hasn't arrived yet  
61,61, Just disband an expedition like this. It's a lot of loss. Items don't come bad …
62,62," This delivery is so bad, how long does it take for the status to arrive in one place until three hearts don't move and it's arrived now, it hasn't arrived …"
63,63, Just keep going back to the warehouse.  
64,64," Very bad experience, this is the first time there is a courier who doesn't know the address, until late at night he calls with impolite language and a high tone, also ordered me to take the package to the road at …"
65,65," Bad service, it's been a long time waiting for my package …"
66,66," Where's my package, why didn't it arrive :"
67,67, Open all night  
68,68," At first I had doubts and was worried because I saw the rating, but thank God it arrived on time.. The package was safe.. :D Continue to improve, yes, because there are still buyers who are not satisfied.. …"
69,69, Quiet  
70,70, Slow delivery  
71,71," to the courier who sent the package to the river, please return it back,,, I paid for cod but you were given a refund, I paid 52000, while the cod package was only 21000 …"
72,72," My item's status has arrived at 22.19, when there is an delivery for the package at that hour, stupid, I've been at home until late at night, no one knocks on the door, this is stupid management or the courier is a …"
73,73, It took so long to send from the warehouse  
74,74, It turns out that many like me always pass the delivery estimate and are considered to have been received by the recipient. Why are so many complaining but still standing on this expedition huh? …
75,75," REALLY BAD service. Every time there is a problem, CS never responds. even if it is answered it can take a very long time and be TRANSPORTED TO OTHER DEPARTMENT. really good shopee express. Lost items have no …"
76,76," My package didn't arrive. It's really the courier, while the other packages have arrived first …"
77,77," WORST eexpedition. where's my package???? pke said it was received. have you received the name, what's the name??? why didn't the phone call confirm my item arrived??? I messed up the photo, where did you put the …"
78,78, Always slow. Always disappointing  
79,79," The package is stuck in the warehouse instead of being delivered right away, strange So you have to wait a long time, the regular period takes 3 days, that's right …"
80,80," Sluggish, tired  "
81,81," It's bad that my package has been received on the receipt, even though I haven't. Courier has not confirmed delivery …"
82,82," Excuse me, how come the item is almost past the estimated delivery date but it hasn't arrived yet, what's the problem? Has this service been closed? …"
83,83, The package is being delivered but it hasn't arrived yet it's really weird …
84,84, The package delivery took too long..  
85,85," VERY SORRY COURIER, DO NOT RECOMMEND. FROM OCTOBER 13 AT 9 NIGHT IT IS CONSIDERED THE GOODS ARE DELIVERED, PDHL I AM D RMH AND DOES NOT ACCEPT EVEN THERE IS NO DTG. UNTIL THIS SECOND I HAVE NOT RECEIVED THE ITEM TSB. …"
86,86, Where's my stuff!!! He said it had arrived but I and the people around the house didn't receive it!!!! HORRIBLE SERVICE …
87,87," Sorry in advance, advice for workers and warehouse staff, work with all my heart, especially the courier, if the intention has been delivered, it should be delivered immediately, my package arrived in 5 days, the …"
88,88," Bad service The item arrived at noon, the update was late at 20:17, I didn't even tell you the item was deposited in the office even though the item was waiting for it, At least let me know via Whatsapp Chat that the …"
89,89," The delivery took so long, even though my house is close, it's been on hold since yesterday …"
90,90," The name is just express, it's actually LELET!!  "
91,91, VERY BAD COURIER  
92,92, It's been a long time the package has been 3 days still in Bandung …
93,93," The package didn't come to the right address, 2 times the package got lost even though the address was complete …"
94,94," I swear, this is a shopee express, I don't know how the HR recruits employees, and the shipping SOP is super duper bad bad bad... when the package w was left on the terrace of the house, it was put behind the plant …"
95,95, long  
96,96, My goods are still there for 2 weeks the service is really bad …
97,97, Seems like a lot of thieves here  
98,98," I have shopped twice using the standard shopee express delivery service, nothing is correct, no one has received the first item because the courier doesn't want to deliver the second one, the item was sent, I don't …"
99,99," I swear the delivery service is very long, bad.  "
100,100," It's really bad I haven't received the package but the status has been received, where did my package go?!. Please, reliable courier, yes! …"
101,101," sorted out, it's like doomsday  "
102,102," The package was not sent, I was surprised  "
103,103, It's been a week and it hasn't arrived even though it's only a few days …
104,104," VERY SORRY EXPRES SHOPE MY PACKAGE HAS BEEN IN BANDUNG FROM THE 4th TO NOW THE 8th WE HAVE NOT BEEN SENT ""ALREADY SENT WITH THE REASON THE COURIER DOESN'T MEET THE TIME OF THE PACKAGE ALWAYS RETURNED …"
105,105," The courier is not very efficient at night ""Call the package can't be sent now, then using the information I've received it again at Shopee, it's really not trustworthy, really …"
106,106, lemooodd  
107,107, In shope there is a vacancy for a bag min. Sort?  
108,108," It's so bad shopee express delivery is not clear, twice sent by shopee express a lot of drama.. the package is stored in coconut ice woi I thought the seller of coconut ice only 1 ask whose name is not responsible, …"
109,109," It's not suitable to be an expedition, it's just a more suitable market place. very slow!!!! …"
110,110, Disappointed the delivery time  
111,111," How about this shoppe express 2, my package hasn't moved for almost 2 weeks, last month my package arrived home after 10 days, the courier didn't respond well, instead asked to meet up and didn't want to take me home. …"
112,112, slow service anjim  
113,113," Shopee express, tau arti express ga vro  "
114,114," Although 4 days until jkt - bdg. But salute the courier was able to find the location, even though there was no house number and benchmark. Only rt & rw, not all couriers at shopee express are bad. There are still …"
115,115," If you want a markerplace, just go to the marketplace, don't bother joining the expedition because your performance is chaotic, bad, slow, doesn't match your estimate. don't be greedy!! …"
116,116," This is crazy, my package has been in Bandung for more than a week, it hasn't arrived at home, no intention of working, the last estimate is Thursday, now Monday, it still hasn't arrived …"
117,117," I'm a reseller from shopee, the shipping costs are very expensive when shipping to East Java 48 thousand more expensive sending to the city of base pinang which crosses the island using an interstate expedition …"
118,118," Usually from Bandung to Tasikmalaya and directly to my home address, how come from Bandung to Karawang to Bayumas what do you want first? Playing around Indonesia like that? …"
119,119, Where my item has not arrived yet. Intention not to open a delivery service …
120,120," It's really bad..my item has been 1 week and still no clarity. To this day, the goods have not yet arrived in my hands. In the application, the information has been received at 23.00 wib again. Where does anyone …"
121,121, Information on the status of the package has been received from Thursday. But until now it has not been Saturday and I have not received it at all. Sorry to give a little rating. But hopefully it will be better in the …
122,122," Long delivery, even though it's already in the destination city …"
123,123," Wow, what a silly chat. No response like that. It's the same case.. …"
124,124," Deliberately ordered D-1 week so that it didn't arrive quickly, I know it took a long time to arrive. …"
125,125, Long  
126,126," It's really messy. Ordinary expedition from Jakarta - Bandung at most 3 days, it's been a week and it hasn't arrived yet, boss messed up, bad service …"
127,127, very long process  
128,128," wow, where's my stuff, DOG... the status is received but the package doesn't come to the house!!! …"
129,129," To Shopee Express, can you be more professional in shipping? My item hasn't arrived yet, I've been waiting for it since Sunday, it hasn't arrived yet, the courier is tracking it and it keeps silent, what's this? …"
130,130, How is this shopee. I ordered kimchi from Sunday and now Wednesday it's still piled up in Bandung where the sorter is. My food can explode on the street if this is the way it is …
131,131," Delivery is very long, usually H + 1 has arrived if other couriers. It's already H+3 hasn't arrived"" …"
132,132," It's been so slow, it's been 2 days on the way to the location, it didn't even arrive, even though it was canceled when it was close, I just gave up using shopee express …"
133,133," It's better to use a fast express COD courier instead of using a courier from Shopee, bro, Very long time to arrive. …"
134,134," It's been a week, the goods have not arrived.. Called the head office several times, the credit has been hbs for half the price of the product, please wait, it's being investigated. Yes, I just gave up, maybe I …"
135,135, Courier does not intend to work and do not work  
136,136," Why isn't my item delivered, why isn't there a cellphone number. To tell you where I live …"
137,137,Aww
138,138," The work takes a very long time, it's different from the fast guy, he's right on time, it's really slow …"
139,139," This is my personal opinion, shopee express is the best compared to other expeditions, because the average person who posts here is disappointed, those who are satisfied with the shopee express service don't comment, …"
140,140," This seems like the delivery guy suddenly 9.9, the package hasn't arrived at the house for 3 days, the neighbor's office doesn't even have my package, where is it? …"
141,141," This is a very strange delivery service, suddenly the status of the recipient is not there, even though there are people all day, please help, there are a lot of people who are disappointed with the service. …"
142,142," Long, ges 3 days yet to come. fried work  "
143,143, The employees don't want to work. Sending packages also rescheduling continuously.. Shopee the service is very bad …
144,144," Where is the status package sent to the destination address should be on Sunday, it is still the destination address, right? …"
145,145," The package hasn't arrived yet. It's been 4 days, I'm sorry, shope, please evaluate again …"
146,146," This expedition is really fraudulent, maybe the order status has been received, but my order hasn't arrived at me yet. tsk tsk, professional, don't take people's orders …"
147,147, PACKAGES IN TARO DPN DOOR D WHEN PEOPLE ARE NOT AVAILABLE D RMH. WHERE'S THE BRAIN THE COURIER! CALL KEK.. SEND LG THE NEXT morrow.. PACKAGE IS LOST BGST …
148,148," Please send my package, it's not usually stockpiled for up to 2 days, I need it, it's already past the estimate …"
149,149, When will it be sent if the goods are in the warehouse  
150,150, WOY WHERE AING ITEMS?! STATUS HAS BEEN RECEIVED BUT THE ITEM IS NOT AVAILABLE UNTIL 1 DAILY STAY AT THE TERRACE OF THE HOUSE HANGING BUT ABOUT THE ORDER HAS BEEN RECEIVED G0BL0K! …
151,151, The package has not arrived but the status has been received in my own name :
152,152," I've ordered an item until now, I haven't received it, the one who sent it is belegug or what, the address is clearly listed, the phone number is also there, but no one has called or contacted …"
153,153," Bad delivery service!! The package has been in Bandung since this morning, it doesn't move at all until the next day!!! …"
154,154," Very disappointed, even though I shopped at Shopee and the shop is the same from Bandung. It's a shame that shopee now can't choose your own expedition. Usually I use another expedition, the package is safe, because …"
155,155," Sorry, do you have an office number to call? I want to make an offer of cooperation.. …"
156,156, The delivery took so long. From the 14th until now it is still waiting for delivery. How could I bring it to the office myself ..... …
157,157, Podol hayam expedition  
158,158," How come there's no employee??? My package has been delayed for 3 days!!! I'm tired and don't want to use this delivery service anymore, until now the item hasn't been sent, even though I really need it!! From …"
159,159," Shope express payaaaaaaah,, the courier is lazy and doesn't want to come even though it's arrived this morning,,🖕🖕👎👎👎👎,NON-ACTIVATE THE EXPRES SHOPEE MAKES A LOT OF PEOPLE EMOTIONS,, I'M SORRY using shopee …"
160,160, the package from the 1st of september it's not clear where the status is.. hadeeeh.. i'm too lazy to use this expedition!!! …
161,161," really bad shopee express. It's been a long time since the delivery, the courier is not clear, the point is really bad …"
162,162," It's bad, I'm sure that if this continues, it will definitely go bankrupt soon, the recipient's name is not written, even my name, even though I didn't receive it, at least give news or proof of receipt of photos, why …"
163,163, Be careful the courier is not clear the item is not there but the status of the item has been sent …
164,164," Wow, where's my package, it's been playing for a week now …"
165,165," Then how many days have the goods been in the warehouse, even though they really need the goods from Jakarta, it's only for a day, there's really no courier or what. How is the rating from the others too bad. Should …"
166,166,"slow, unprofessional"
167,167," This is really bad, the mening expedition doesn't have to operate at all, when the status is received, I haven't received it at all, the people at home also don't receive the item, but the status has been received …"
168,168, slow delivery  
169,169," The package has not arrived for 3 days, it just keeps playing around, in the statement it was sent to the recipient's address but in fact it just returned to the warehouse like that. …"
170,170, Delivery from jkrt - old bandung is amazing  
171,171," Since there is no shopee drop point in my area, you have to stay far away. Friendly service …"
172,172," My package status has been received but I didn't receive any items, how about this? …"
173,173," The package has been received even though it has not been received at all, the courier is less responsible!!! …"
174,174," the item has not been received, it has been said to have been received.. the incident happened on 19 8 2021.. it's really bad shopee express …"
175,175," Even though the courier is friendly, the goods are proven to arrive because shopee is always cut by people, it's clear that the recipient isn't like other expeditions, there's no photo directly playing, love, this is …"
176,176," Delivery is quite long, the status is being sent, it has been updated in the morning x but until the afternoon the goods have not arrived …"
177,177," #mypackage It's been the umpteenth time I'm disappointed with jasper shopee.. a non-cod package, first suddenly the status of the package has been received and the name of …"
178,178," Really shopee express jkt-bdg 6 days until now it hasn't arrived"" I'm tired of swearing …"
179,179," I've been disappointed twice... first, suddenly the package was received and the recipient's name was unknown, but thank God it turned out to be a neighbor. Today is the second day, he said the package has been …"
180,180," Where is my package, it's already rich from abroad, it's been a long time. Position there …"
181,181," Who received my goods wow? Why the phone call is not the item I received but it didn't reach my hand, it's just a shame that it's just annoying …"
182,182," I ordered from the 30th until now not yet arrived... do you intend to open an expedition!!!!! It's very far from J&T, JNE, SICEPAT, NINJA,, if you can't afford to make an …"
183,183," For the first & last time using shopee express services, I don't want it anymore! It's been a week the package has stalled in South Jakarta, where have the goods …"
184,184, Delivery takes a long time even though it's within Bandung …
185,185," Until now, the order has not arrived, but since the 29th it has been sent. On the 31st, I walked to Karawang, but to this day I'm still in Karawag. Just now, I ordered shopee, the delivery was shopee express and it …"
186,186," Very disappointed with the Shopee Express service. Delivery is still one city 6 days not yet arrived. Kapok with Shopee Express service, it's better to just deactivate it. …"
187,187," Every time I use the standard shopee express it's always long... every time I order an old one, it's been many times!""!!! Shopee express should be fast, right? Please improve the service again... make consumers …"
188,188," Wow, it's true, the package hasn't arrived for 5 days, even though from Jakarta to Bandung, the one from Surabaya using the other side of the expedition arrived in 1 day, please :"
189,189," Disappointed with shoppe please where my goods should arrive on the 3rd yesterday, lol :"
190,190, Tired of taking so long  
191,191," My package didn't arrive, wow  "
192,192," The package from jkt to bdg was really fast, but when it arrived, it took a long time right?? …"
193,193," Ordered electronic goods until now there has been no progress on delivery, it's been 3 days, is there a problem with Shopee Express or what? It's been stored in the warehouse all day, yesterday morning it arrived in …"
194,194," My package was the same week now, where is the skincare content anymore :"
195,195," Don't know what to say. What is clear is that my package doesn't work, but its position is in Bandung. Even though from the 29th until now no one came.. …"
196,196," Sending from Bandung to Bandung just arrived 6 days and it still hasn't arrived I'm surprised the staff only once... Shopee devil, my package didn't come …"
197,197," Delivery from Jakarta to Bandung within 7 days still not arrived. Delivery from 26 July, now 2 August the shipping status is still in Karawang. :'"
198,198," How can you speed up the delivery, please, for PPKM reasons, but there are no problems with other expeditions, 1 or 2 days it has arrived, my item has been in Bandung for 2 days and didn't go forward, yesterday's …"
199,199, Zonkk  
200,200, Critical  
201,201," It's bad that it's been 3 days of staying, until now it hasn't arrived …"
202,202," The expedition is very slow, not like the red one for just one day. Well, it's been 5 days if you don't intend to open an expedition. If you want to choose another expedition at the olshop, you can't do it Hadeeehhh . …"
203,203," Bandung to Bandung, it's been 3 days and the package hasn't arrived, if you can't afford it, it's better not to provide services like this …"
204,204," Delivery has not progressed for 4 days, Bandung is still sorting, even though the delivery is 1 city. It's been 5 days, the item has not been received. Been disappointed twice because the delivery was so slow. …"
205,205," It's really slow, it's been 5 days, the goods haven't arrived, but from afternoon to East Bandung, the destination …"
206,206," The status of the package is received but I never received the package Where is my package, if I haven't paid for it yet, I don't know why it's already …"
207,207, Is there a shopee office number that I can contact? Thank you 🙏 …
208,208," The package was delivered from the morning to the location, thank God it hasn't arrived in 3 days …"
209,209," It's been a long time, my order hasn't moved, it's been there for a few days. Even though it's 1 city, if a normal trip takes 1 hour to arrive, if you use …"
210,210," JNT, JNE are the best in 1 2 days, the package can arrive immediately. I got SHOPEE EXPRESS, why did it take so long, I wonder what kind of work I do? …"
211,211," The last time, just using Shopee Express.. Sending it to Bandung district.. 2 days not moving, the status is in the warehouse, then.. Even though the package is really urgent, it needs to be used.. Kapok?!!! …"
212,212," on the 1st day tracking the goods are picked up in West Jakarta 2nd day sorted in Jakut, 3rd day sent again from JakBar for sorting, 4th day …"
213,213, Look at the courier relaxed I ordered a package that took a long time to send to the destination Intention to work or play …
214,214," Very bad,, slow delivery  "
215,215," It's not clear it's not clear it's not clear, it's explained that the location is not reachable while ordering other items on the same date arrived yesterday. Obviously my house is on the main road. I uninstalled …"
216,216," Why hasn't my package arrived in 1 week? even though it's the same from Bandung to Bandung. I deliberately chose the same city as where I live to be faster, but it took too …"
217,217, The package status has been received even though the buyer has not received it …
218,218, Package Mana Package! Lama Kie aduhh aing mah kacau  
219,219," Hello, this courier, what do you do? My package has passed 4 days and it hasn't arrived. I feel like if I use another service, the longest it's only 2 days, it's already 4 working days, what's so bad, the workplace …"
220,220," The package has been 3 days aka 3x failed to send the courier did not contact at all. If this is a stale package, who is responsible? …"
221,221," I haven't received the package, but the package has been received? How is this? Where is my package? …"
222,222," It's bad, fellow Bandung cities, why can't other expeditions arrive quickly …"
223,223, It is stated that the package has been received even though it hasn't been... how about this!!?? …
224,224," why are you so upset.. the free postage event went astray, said inspiration. what makes it take so long is the person seriously asking if using a delivery …"
225,225," Searched according to maps, not even there. What a lie. Should be updated with the new address …"
226,226, It's been so long ah tai  
227,227," How is this, my package from the 25th until now, I'm still here in Bandung dc, there's been no change, how come I'm tired of using this, please send the package, why is it taking so long, even the food is getting …"
228,228, Friendly  
229,229," hi, shopee has passed the estimate but the item is still on its way, but semams is bandung. no movement at all …"
230,230," It took a long time to arrive, I was tired of waiting, when the package arrived, I uninstalled shopee and changed to tokped byee …"
231,231," how about this, the package stops here forced to use shopee expedition because there is no other expedition THIS IS THE GOODS PEOPLE WAITING FOR DON'T PLAY FOR LONG, REALLY THE DELIVERY. …"
232,232," Please add a banner or something, for the first time there like me, I must be confused to find the place …"
233,233," since the 24th the package has been on its way and there is no movement at all, it's already past the estimated delivery date, ask shopee cs, they say it's arrived in east bandung but until today it hasn't arrived, …"
234,234," Where is my package? It's been from the 25th in the morning.. It hasn't arrived* to me yet. The trustworthy one is the courier / delivery party, …"
235,235," How is the delivery of my package, the last update was on June 24, 2021 at 12.01, the package has arrived at the eastern Bandung hub, I thought yesterday afternoon the package would arrive or at the latest on June 25, …"
236,236," Delivery from jkt-bdg, laammmaaaa baannggeettsss! Do you intend to work? …"
237,237," I had to use this expedition because I forgot to change the delivery service at shoppee. Finally, this is it. According to my expectations, the goods are stuck in the warehouse. In conclusion, JNT is indeed the best. …"
238,238," in dc bandung this is the longest possible from the sorter too, replace employees who have loyal and responsible nature …"
239,239, Delivery within the city of Bandung to Bandung 2 days has not arrived yet ️ …
240,240, Disappointed with shopee express but delivery is always directed to shopee express can't choose another expedition …
241,241, ok steady  
242,242," The courier is not professional. Always giving false reports to the company, the package hasn't arrived, it says the recipient can't be contacted even though no one is calling, the cellphone is still active. SIGA NU …"
243,243, There is no signboard beside the road. if from the direction of the market 200 meters to the left. …
244,244," Please improve the performance, the item from the seller has been sent very quickly but the expedition doesn't know where it's piled up, I don't know where, on June 12, 2021, at around 2 pm there was news from the …"
245,245," very long delivery, like I don't intend to be an expedition party. even though it's still in Bandung, not outside the island :"
246,246," Not professional anying, stuff aing up Now can come ,,, disappointed for God's sake, where is his responsibility woooyyyy …"
247,247," There are too many consumer stories/reviews about shopee express, so this 1 rating explains everything …"
248,248, It's been a long time 😅  
249,249," PARAAAAHH!!!! The package has not been received, the status has been received... who is receiving this???? …"
250,250, Conch conch..  
251,251," It's very long, even though shipping from Jakarta to Bandung, it's better to use JNT or JNE faster …"
252,252, Where to buy quality fish seeds  
253,253, the original is really long.. it's better if you just close it if you can't go fast. not really ready to be an expedition. …
254,254," I haven't received my order yet but the delivery status has been received, I asked the shoppe team just to give a refund suggestion, what's the story, wow, the shop has sent it but the delivery team has no …"
255,255," Good people, friendly sipp  "
256,256,ok
257,257, Blocked  
258,258, It's been a long time I swear pdhl jkt-bdg but it's been a really long time having to wait it's really weird …
259,259, Where is my item.. in the delivery report I have received the item.. where is it tracked it's not clear the courier …
260,260, Excellent  
261,261," It's really bad, even though from Bandung to Bandung the delivery took so long, what's going on with the courier... even though the item is going to be used with me... the stock item in North Bandung is a bad hub, but …"
262,262," I'm tired of this one, delivery is delayed ngt  "
263,263," The delivery took a long time, yesterday the status was on its way to your location from the morning waiting until the afternoon, it wasn't there, eeh when it was late, I changed the status to ""the delivery attempt …"
264,264, I feel like I didn't receive the package but it said the package was received. How about this! There is no responsibility at all from the courier playing sending to people I don't know where there is no confirmation! …
265,265," I understand again with this delivery, if there are other shipping options, it's better to use another one I swear !!! It's just being left in the city, it can take days for delivery using other expeditions, a maximum …"
266,266, Superrrrr leletttt  
267,267," Fast delivery, lovely and friendly staff  "
268,268," TAKE A LONG TIME AS A SELLER, I ALREADY CAN DO 2 POOR FOR THOSE WHO BUY IN MY SHOPEE STORE, THEY CAN'T CHOOSE DELIVERY SERVICES …"
269,269," The longest expedition I have ever chosen, even though the sellers are still the same as the city of Bandung ... slow pisan …"
270,270," I have never been disappointed with Shopee, even though there is a delay for goods to arrive home, but compared to other yvs, it is more comfortable to shop at the shop ... …"
271,271, Very bad  
272,272," No wonder the stars are small, I just experienced the package has not been received but the check has been received on my own behalf ... funny ... how does this work how come ... even though the cellphone number is …"
273,273," Punteun for the courier, if you want the goods to be entrusted by another person, call the owner of the package first ... Dizziness going back and forth looking for the recipient's name …"
274,274, Shopee warehouse  
275,275," badly, the goods have not been received, or they have been received by the courier. there is no money …"
276,276," Even though it's already in the destination city, how come the stak in northern Bandung HUB is more than 1X24 hours the status of the package doesn't change, …"
277,277," What a mess, my package was stored in the warehouse and didn't know when it would be sent to my address. It's a pity Shopee has an expedition like this. If you can't do it, don't work …"
278,278," Shopping at Shopee, there is no courier option, I was forced to choose Shopee Express, I bought a cellphone for 1 week, it's still here ... …"
279,279," Please improve in terms of performance if necessary, add more Kariawan so that delivery can be faster …"
280,280," The package doesn't arrive, what are you doing in the warehouse for days? Work intention or not? …"
281,281," What is the fate of the package stuck in DC or courier?  I also received it 2 days ago in the package system, even though I had not …"
282,282," Super slow delivery ,, the management is chaotic  "
283,283," The goods ordered have arrived at shopee hub Bandung from Wednesday 12/05/21, until today 16/05/21 there has been no report sent to the destination address. Even though it was an order from 10/05/21. This is the first …"
284,284," This is really bad, the name of my item from May 12th, I still continue to do it at the North BDG hub. while I asked the courier who delivered other items to the courier, the courier continued to work without taking …"
285,285," Status ""delivery failed, recipient not in place"" Really HOAX, 24 hour security no courier showed up ... this is really bad, whether the employees are lacking or the human resources are lazy …"
286,286," forced to give 1 star. if you can without a star it is better without stars. regret shopping here. Forced delivery using Shopee Express but disappointing. more better at the PEDIA STORE, OPEN FACEBOOK can select a …"
287,287, incomprehensible ah cheap onkosna  
288,288," Crazy, severe, Bandung, Cirebon, more than a week, buy another item at the same time, using 2 days has arrived !!! Disappointed when I use the express shopee, the goods have been in Cirebon for 3 days and didn't send …"
289,289," Sorry this is an express shoppe or a Lolla shoppe ... The name is Express delivery, it seems like it's old ... …"
290,290," The delivery service was disappointing, 2 times boro2 express, which took a long time to arrive ... last yesterday the goods were delivered to 8 hours waiting for not arriving until evening, instead they returned to …"
291,291," It is clear that the statement is sent during office hours. At 8 in the evening, I sent him thinking I worked 24 hours …"
292,292," MALES BANGET PAKE SHOPEE XPRESS, LAMA :"
293,293, VERY BAD!!!  
294,294, Long  
295,295, WHERE ARE MY GOODS WHERE IS KNPA CLAIMED ACCEPTED IF THE GOODS I DIDN'T RECEIVE? …
296,296," How to contact the shopee express, gimnaa? !!!!  "
