,Shopee ID Reviews
102, why is this fellow Surabaya so long ???  
103," ID017022407653 The item has not been received, but it has been received, there is evidence of TT but it is fake …"
104, Very disappointed looo using this delivery ... Suiii nemennnnnnn Fellow surabayaaa lo padahalll ... …
105, Eu92herueru3uroy9ud9je0ir0uu9hio ● ︿ ● ╯﹏╰ ● ︿ ● ￣he￣ ● ︿ ●● ︿ ● 
106," The worst expedition I have ever used. I am very disappointed, if I can't make an expedition, it's better not to make an expedition. Instead of worsening the name Shopee itself ... if you just leave it to the next …"
107," Expeditions are slow, usually from Surabaya / Sidoarjo to Jombang, only 1 day, max 2 days, how come it's really slow to arrive 4 days, it's not recommended even though it's free shipping, it's better to choose jn * / …"
108," what is this expedition? Cook to send from Surabaya to Madiun which usually takes another expedition for only one day, it's been 3 days and still just going around in Surabaya. …"
109," Tracking in the goods application until it is received by street vendors at 00.51 WIB, while in the shopee application the goods are received by street vendors at 14.00 WIB. And in fact it has been more than 2 days …"
110, Long delivery  
111, Shopee express didn't deliver the right thing  
112, shopeee is increasingly unclear to move to another marketplace …
113, He said the opening week was closed  
114, Old glass. Just close the expedition like this. Garbage. Don't dare to be given a phone number in the description. It doesn't look right. …
115, The fastest expedition in the afternoon sends the morning to the rungkut area …
116,Nice Work Space
117," It's been a long time to come. Buy 2 items in different locations, the other one is Bandung ... Uh, it came earlier than Badung ... Even though I was on my own. …"
118," I already know there are many complaints but they are not fixed immediately. Duh, for people who want to use this expedition, it's better. Trust me, Shopee Express is a very bad service in the expedition world! …"
119," I already signed the contract, he said in the hub again, apparently there was no news …"
120, long  
121," It's bad, the item hasn't been received but the status has been received. …"
122," Wow, where's my package soooo I have received a notification, but I haven't received it at all ... …"
123, The items are stored first for a week so they can spawn  
124, I like it  The problem is the free shipping is not bad if the delivery problem is the …
125," The delivery takes a long time, it's better to choose another expedition but it is much higher quality, in the end my item was declared lost by Shoppe Express …"
126, Why wasn't my item sent even though it was already in the hands of the courier …
127," Start faster, keep growing.  "
128, very slow delivery  
129, Expedition is slow and slow  
130," Bad courier, goods were not sent, the writing was not enough time. !!!! I didn't bother to send it, I just canceled it. …"
131," It's really long, even though it's been 5 days I usually try to use this service first, only 4 days have received the goods. …"
132," How long does it take, the next expedition doesn't last for days now …"
133," The delivery time, usually Surabaya to Surabaya again, only a day, it has not arrived for 2 days …"
134," the courier doesn't want to contact the customer bondo ... cook, I've been waiting for the package from morning, until late at night it actually says BUYER RESCHEDULE, even though I DO NOT ASK ONCE TO BE DIRESCHEDULE …"
135," Alhamdulillah, the goods finally arrived on time. In accordance with my promise, I give 5 stars. My hope as a customer, I hope that in the future, the delivery of goods will be improved and on time to arrive at the …"
136, It's been a long time ... The goods arrived at the customer less than 2 pieces. The complaint was also immediately decided that it was not Shopee Express' …
137, Why is it too late. I don't want to compete with the other ... kog like this still happens. Have you never acted on it. Isn't the courier paid kog lemood? …
138, Super super long courier cuy  
139," Have used this expedition service for the umpteenth time ..., it's just been a long time. in the case of stts from morning already d courier, until evening it didn & apos; t arrive. …"
140," The expedition is not honest, it hasn't arrived yet the info has been received, there is no phone / message ... the address is correct too ... be careful for those who want to use standard shopee express especially …"
141," Wow, the package has arrived at the Surabaya shipping hub, how come from Surabaya to Surabaya from 27 to 30 it hasn't arrived yet, so the status is still at the shipping hub, do you want to work? I pay the postage ... …"
142, Place for a living  
143, Who has a shopee express contact please please ... how long my package in the warehouse doesn't work at all …
144," The expedition is the worst ... the status is carried by courier every morning until evening, the status fails to send, the time is not enough ... even though I usually use JNE JNT, the security guards always leave …"
145," Shopee express takes a long time in the warehouse, it should have been delivered to the house, but it is still left in the warehouse. I have to go there myself to get my package. …"
146," Very Disappointed, When Delivering as a Seller Last Sunday You Can, This Week You Cannot, Very Bad …"
147, The good news is the more it is organized the faster it is sent …
148," This expedition is really clear, too slow. Even though this afternoon the package delivery status was being sent by a courier, uh I waited for it not to come. Then just now there is an incoming sms if the delivery …"
149," high exclusivity logistics courier, own property .. but the service is far below the standard with other delivery services. I can order 5x using the shopee express delivery service from the buyer, but the courier …"
150, Shoppe delivery place  
151," The delivery was slow, the courier had brought it for 2 days and it didn't arrive ... did the courier go around Jakarta first? …"
152," Don't ever use this expedition, I swear my package hasn't arrived but it has been received by Mrs. Karni, even though there is no such thing at a neighbor's house, so please take responsibility …"
153, 1 star is already better .. Shipping lousy !! …
154," ok, now the service is better, even though it's still late at night, it's still queued by the courier …"
155," For those who read this. Don't call the wa number listed in the picture because it's a FRAUD under the guise of this shopee express admin, because I tried to chat and as a result he asked for the cellphone number and …"
156," Safe packing, friendly courier .. until the location on time. Thx shopee .. always be victorious …"
157," The delivery of the dog was really 3 days in transit, it didn't move, maybe the courier ate a blind salary …"
158, package delivery is very long. no recommended!  
159, WORST  
160," If there are other shipping alternatives, I suggest using another one. My package is lost somewhere, cs machine, wordy until I run out of credit, still no clarity. Tracking receipts ALWAYS NOT WRITTEN WHO ACCEPTED, …"
161, goods a week in the hands of the courier not enough  
162," Slow to send 3 times failed, padhal house is easy to find. …"
163," Sending using Shoope Express, took a long time, Kapok using this expedition …"
164," One ""is an expedition & even a company that has a wide scope but doesn't have CS, portals, phone contacts. Just follow them: D …"
165," Is this an expedition or something? I don & apos; t have my own contact, the service & cs are still different, then what validation do you try? …"
166," It's really slow, even though the goods shop is in Surabaya and my house is in Sidoarjo, and it's been 5 days that it hasn't gotten really bad even though the goods are urgent, no longer using this, it's better to …"
167, Very long delivery Delivery is still within 1 city more than 7 days 3x failed to send to the address for insufficient time …
168, Not recommended ... really slow  
169, Delivery is slow The sorting party when I wanted to pick up the goods said the goods were piled up and in the end I couldn't get anything far there …
170,Standard
171," Using shopee xpress, the condition that was received by the packaging was torn and only 1 left, on order 2, I confirmed it to the seller owner d shopee. He said it was sent 2. And there is already a note d on the …"
172," The delivery is long, please repair it so as not to disappoint other cstmers! …"
173, badly slow and there is no confirmation of the sender's problem …
174, Slow for the courier ... The package is pending terrusss ... …
175, give up using shopee express !!!! address where sent to where :
176, Easy access near toll roads and airports.  
177," Fast delivery and whole goods flawless courier friendly. Anyway, jos for shopee express …"
178, Shopee Shopee 2  
179," Don't expect to use Shopeeexpress ... In the morning, I ordered, in the afternoon, I just arrived ... Pakett COd, I still have 2-3 days. Fortunately, there is still money left over by cash ... …"
180, It & amp; # 39; s nice to shop with a free shopee shipping tissue …
181, Shopee ... Shopee ...  
182," Indeed, the delivery speed is super fast, the goods are not scratched in the slightest and the courier is very friendly ,, healthy, yes sir courier hopefully a blessing …"
183," Fast delivery, Please select shopee exoress  "
184, Fast delivery and courier friendly 2. So like shopping at shopee …
