Fake,Id,Label,longitude,latitude
,72,trackNOW,72.507111,23.023975
,73,Virtual Control,114.150699,22.28557
,74,Radaro,-93.4009118,44.88779
,75,Radaro,145.044549,-37.8533026
,76,Jaix Logistics Software,138.6044612,-34.941412
,77,Swivel Software,114.2085841,22.4274797
,78,Swivel Software,139.7527426,35.6701356
,79,Swivel Software,-118.1524201,34.13584988
,80,Myfreight,-94.669453,38.9554925
,81,Revolo Infotech,72.8354475,18.9398446
,82,Brevity Software Solutions,70.7849172,22.2904536
,83,Spingine,121.0154724,14.5715258
,84,Spingine,123.8887997,10.3140609
,85,LogixGRID,77.0577849,28.4257225
,86,XShoppy,113.94605,22.55686
,87,Marlin AI,103.6882628,1.3192148
,88,GPSGaadi,77.2749299,28.5361056
,89,GPSGaadi,75.8722663,22.685824
,90,ScanSKU,-75.5785216,39.7317773
,91,iInterchange,79,22
,92,Cadence Data Soft Pvt. Ltd.,-81.2504601,28.7604424
,93,Cadence Data Soft Pvt. Ltd.,73.802335,18.594491
,94,BrandLink,144.7502385,-37.7992525
,95,BrandLink,150.7912947,-33.8161696
,96,SmartBee Intelligence,121.5654268,25.0329636
,97,Cyberfreight,151.1440063,-33.9606713
,98,Cyberfreight,174.7729684,-36.7880923
,99,Cyberfreight,103.920823,1.323551
,100,Waylar tech,100.544167,13.7435938
,101,WinCreate,139.7535147,35.6949338
,102,Dynamic Solutions and Advanced Technologies,100.5248875,13.7059397
,103,Dynamic Solutions and Advanced Technologies,80.1828585,13.0434234
,104,Dynamic Solutions and Advanced Technologies,101.4408421,3.007748
,105,Dynamic Solutions and Advanced Technologies,39.1388759,21.6167409
,106,Alliancc Art Group,114.044823,22.517026
,107,Caesar Software Pvt. Ltd,73.9766151,18.4740769
,108,Wisdom Cloud Service,118.78305,31.980206
,109,SAM Computer Systems,174.8093317,-36.9054848
,110,QA Chef,151.2052783,-33.8652858
,111,Domex Technical Information Pvt. Ltd.,72.8161081,19.0019788
,112,Domex Technical Information Pvt. Ltd.,80.2452006,13.0624918
,113,Mash Corporation,135.4989741,34.7123305
,114,Mash Corporation,139.7556247,35.657111
,115,Customer Logic,153.1027315,-26.4049043
,116,EC Robo,139.9736561,35.8663972
,117,iGateway System,-5.876172,54.6005076
,118,Intellismart Information technologies Pvt Ltd,78.3895854,17.5413598
,119,Unitech IT Solutions,151.2185771,-33.8743855
,120,Unitech IT Solutions,150.891355,-34.4341322
,121,Logistics & Convenience,135.3956935,34.7133309
,122,Transmetrics AI,23.3088112,42.6996387
,123,Transmetrics AI,4.9348926,52.3352446
,124,Transmetrics,79.0447306,21.1157472
,125,RAMINFO,78.3923181,17.4380755
,126,Sakura,135.4526757,34.5924256
,127,Sakura,135.4163829,34.5287624
,128,Sakura,135.4044569,34.5137296
,129,Sakura,134.5750153,34.7678893
,130,Sakura,135.4785648,34.7203932
,131,Sakura,131.9199959,33.9809997
,132,ValTech,139.687732,35.6940797
,133,ValTech,121.4627868,25.0169826
,134,QTCPlus,-121.9560672,37.3981046
,135,QTCPlus,72.8596773,19.2240877
,136,QTCPlus,-79.6787525,43.8000952
,137,QTCPlus,77.6287885,12.9155002
,138,Trimble Mobility Solutions India,73.829871,18.5412879
,139,Trimble Mobility Solutions India,77.0614523,28.4420119
,140,Trimble Mobility Solutions India,80.244194,12.958429
,141,Trimble Mobility Solutions India,77.590082,12.9767936
,142,Trimble Mobility Solutions India,73.019977,19.0619004
,143,KYOEI SYSTEM,135.4938748,34.6804077
,144,KYOEI SYSTEM,139.8595861,35.6628381
,145,Visichain,114.1555936,22.2826315
,146,Hitachi Distribution Software,139.816345,35.6716688
,147,Hitachi Distribution Software,141.3406489,43.0573422
,148,Hitachi Distribution Software,140.5412184,36.4832972
,149,Hitachi Distribution Software,136.900257,35.1697966
,150,Hitachi Distribution Software,135.4688405,34.6806904
,151,Hitachi Distribution Software,135.5056363,34.6805235
,152,Hitachi Distribution Software,130.4111784,33.5901701
,153,Hitachi Distribution Software,130.41452,33.5917187
,154,Track Company Bus,76.9483413,8.4668641
,155,Technorip Innovations Pvt Ltd,76.2767497,10.0871095
,156,T3EX Global Holdings,121.56405,25.0415889
,157,T3EX Global Holdings,139.7857667,35.6848227
,158,T3EX Global Holdings,126.8414978,37.5671533
,159,T3EX Global Holdings,121.0084861,24.8220001
,160,T3EX Global Holdings,120.6746691,24.1631651
,161,T3EX Global Holdings,120.293179,22.615809
,162,T3EX Global Holdings,120.3111556,22.619905
,163,T3EX Global Holdings,121.5232592,25.0520293
,164,T3EX Global Holdings,120.6378828,24.1875829
,165,T3EX Global Holdings,121.247434,25.0921823
,166,T3EX Global Holdings,121.5232592,25.0520293
,167,T3EX Global Holdings,121.2784485,25.0551802
,168,T3EX Global Holdings,121.0141162,24.7734625
,169,T3EX Global Holdings,-118.3668804,33.9676758
,170,T3EX Global Holdings,-73.784373,40.6650991
,171,T3EX Global Holdings,100.5205711,13.7122863
,172,T3EX Global Holdings,104.9159038,11.5690237
,173,T3EX Global Holdings,106.6851005,10.7756313
,174,T3EX Global Holdings,106.7048794,20.8495472
,175,T3EX Global Holdings,108.2126512,16.0598937
,176,T3EX Global Holdings,105.8389109,21.0082592
,177,T3EX Global Holdings,121.022311,14.5565232
,178,T3EX Global Holdings,101.4451109,2.9969609
,179,T3EX Global Holdings,100.311044,5.434833
,180,T3EX Global Holdings,103.995825,1.374513
,181,T3EX Global Holdings,103.995093,1.373031
,182,T3EX Global Holdings,106.8639931,-6.1722003
,183,T3EX Global Holdings,126.66837,45.7602099
,184,T3EX Global Holdings,121.64511,38.9186399
,185,T3EX Global Holdings,123.432862,41.79224
,186,T3EX Global Holdings,117.19529,39.11928
,187,T3EX Global Holdings,116.8665467,40.0577176
,188,T3EX Global Holdings,114.47776,38.10062
,189,T3EX Global Holdings,120.40415,36.08056
,190,T3EX Global Holdings,120.3146307,36.06263
,191,T3EX Global Holdings,121.36978,37.5128199
,192,T3EX Global Holdings,112.55613,37.84566
,193,T3EX Global Holdings,113.770298,34.768262
,194,T3EX Global Holdings,108.94693,34.23921
,195,T3EX Global Holdings,104.0641,30.66976
,196,T3EX Global Holdings,106.63487,29.6802499
,197,T3EX Global Holdings,117.3294,31.08485
,198,T3EX Global Holdings,114.286141,30.58535
,199,T3EX Global Holdings,113.34092,27.00376
,200,T3EX Global Holdings,115.83863,28.64825
,201,T3EX Global Holdings,115.96193,28.69056
,202,T3EX Global Holdings,118.0802153,24.4493903
,203,T3EX Global Holdings,119.3055696,26.0966832
,204,T3EX Global Holdings,113.36608,22.51666
,205,T3EX Global Holdings,113.32588,23.13359
,206,T3EX Global Holdings,113.32588,23.13359
,207,T3EX Global Holdings,114.116513,22.540431
,208,T3EX Global Holdings,114.08251,22.5308
,209,T3EX Global Holdings,114.1269711,22.3430143
,210,T3EX Global Holdings,114.2081677,22.2916982
,211,T3EX Global Holdings,114.092974,22.338373
,212,T3EX Global Holdings,113.9703278,22.4001887
,213,T3EX Global Holdings,114.0932118,22.3389746
,214,T3EX Global Holdings,121.617451,29.860469
,215,T3EX Global Holdings,120.70706,30.75742
,216,T3EX Global Holdings,120.100987,29.346891
,217,T3EX Global Holdings,120.1464449,30.3066003
,218,T3EX Global Holdings,119.52324,25.9628299
,219,T3EX Global Holdings,121.44134,31.6205
,220,T3EX Global Holdings,121.428789,31.228023
,221,T3EX Global Holdings,121.320361,31.288352
,222,T3EX Global Holdings,121.30966,31.10947
,223,T3EX Global Holdings,121.61151,31.33961
,224,T3EX Global Holdings,121.77572,31.10994
,225,T3EX Global Holdings,121.517216,31.251923
,226,T3EX Global Holdings,121.428789,31.228023
,227,T3EX Global Holdings,120.631547,31.308817
,228,T3EX Global Holdings,118.78696,32.04517
,229,T3EX Global Holdings,119.37144,34.75156
,230,T3EX Global Holdings,119.96699,31.78109
,231,Casfer Technologies,74.0114217,15.1910857
,232,Prophit Systems,151.264853,-33.794418
,233,Prophit Systems,-84.3720101,33.8459748
,234,Prophit Systems,121.450205,31.224595
,235,Prophit Systems,103.8400045,1.2919025
,236,KSL Logistics,77.3366816,28.6620078
,237,KSL Logistics,76.8072233,28.4756584
,238,Raygain,77.1887297,28.5676248
,239,Raygain,-118.5908075,34.23016368
,240,Raygain,-0.5901977,51.5134037
,241,Raygain,80.156268,13.03118
,242,Raygain,103.8780345,1.3247108
,243,Original Soft,139.7502086,35.6699735
,244,Usac System,139.7836339,35.6798559
,245,Usac System,135.5068421,34.6862368
,246,100M Intelligent,120.36967,30.30622
,247,Transfocus,138.6044612,-34.941412
,248,UniGPS Solutions,77.52983,12.878879
,249,UniGPS Solutions,73.907639,18.506808
,250,UniGPS Solutions,79.083488,21.173057
,251,UniGPS Solutions,83.2961176,17.7329021
,252,DIGI,139.7295979,35.6588686
,253,DIGI,139.7263983,35.62657
,254,TrydanGo: Last Mile Connectivity,77.1927679,28.545718
,255,Freight Management Software,150.8767588,-33.8029731
,256,Kyouei Information System,139.7122316,35.5632519
,257,KCS,135.7558493,34.9894158
,258,IPR,139.4158242,35.7016378
,259,AND Systems Japan,135.5010343,34.6785681
,260,Ard Sosiyo,139.7701342,35.6959995
,261,Fullback,136.6276997,34.9612797
,262,Tensei Data Net,136.1937094,36.0630491
,263,India,78.9629,20.5937
,264,UK,3.436,55.3781
,265,Germany,10.4515,51.1657
,266,Vietnam,108.2772,14.0583
,267,Singapore,103.8198,1.3521
,268,USA,95.7129,37.0902
,269,Indonesia,113.9213,0.7893
,270,Australia,133.7751,25.2744
,271,Japan,138.2529,36.2048
,272,China,104.1954,35.8617
,273,Canada,106.3468,56.1304
,274,Switzerland,8.2275,46.8182
,275,Mauritius,57.5522,20.3484
,276,Philippines,121.774,12.8797
,277,United Arab Emirates,53.8478,23.4241
,278,Hong Kong,114.1694,22.3193
,279,Taiwan,120.9605,23.6978
,280,New Zealand,174.886,40.9006
,281,Thailand,100.9925,15.87
,282,Malaysia,101.9758,4.2105
,283,Saudi Arabia,45.0792,23.8859
,284,Bulgaria,25.4858,42.7339
,285,Netherlands,5.2913,52.1326
,286,South Korea,127.7669,35.9078
,287,Cambodia,104.991,12.5657
