,Reviews
41," use the REGULAR JET Express service, send Tangsel to South Jakarta, it takes 5 days. I pray that you close. the name is just Express but the service doesn't have express. …"
42," very bad service. use express service but it's the same as regular, 3 days just arrived. …"
43," What does EXPRESS mean? It's not in line with the name, the term ""if it can take a long time why should EXPRESS"" The system and management must be changed …"
44,Ok
45," It's a broken system or a human error, why isn't the delivery progressing? It's been 3 days still at the sorting place in Jakarta. Many receive complaints but they are not repaired, is it still suitable as a place of …"
46, Sending from Jakbar to Jakut takes a long time to ask for forgiveness …
47, June 28 buy medicine online from JAKARTA to BOGOR June 29 GILEENYA the medicine was sent to PONTIANAK. June 30 the medicine was sent back from PONTIANAK to JAKARTA …
48,Very bad in delivery service👎
49," It's crazy this is an expedition, the package has been received at the sorting place from the 1st to the 6th there is no update where it has been or what is the problem that the durability is so long even though it's …"
50, Delivery service is not as good as Indonesia  
51," Now, how come the delivery is getting more clear, compared to other courier services ... it took a long time, from West Jakarta to East Jakarta, my package has not arrived for almost 1 week ,,, and from the J&T party …"
52, my package is broken. it's been opened without confirmation so it's bad all the order. …
53," The old stuff here, the service is not satisfactory  "
54, Delivery is not clear. The package was brought by the courier but was not sent to the address. Very disappointed …
55, Very old  
56," Just close it if you can't afford it ... The way it works now is much worse than when it just arrived, Jakarta to Jakarta 3 days the item hasn't arrived, you know, it's not going to use J&T, the price is the same as …"
57," The days are not getting better, it's getting messier ... Buying spare parts from North Jakarta to Central Jakarta, 3 days have not arrived, see history, just going back and forth, I don't know what to do. Kapok is …"
58," Just close it sis, don't open the expedition again, can't you deliver it ... just write the package to take it yourself to the office if it arrives ... …"
59," It's just Surabaya-Banyuwangi, I have to go to Gresik, Sidoarjo, and finally I don't know where to go …"
60," It's called express, but it's far from express  "
61," The best expedition ever, Ninja Express is not big yet, the delivery is fast, the warehouse part is slow, the goods don't run, it's still stuck in the central warehouse. …"
62," Yesterday's order from Jambi should have gone directly to Kerinci, as usual, it was sent to Pekan Baru, this new week called Pangkalan Kerinci 😭😭😭 …"
63," I really swear to J & T's service It's been like this 2 times, the goods stuck in Jakarta haven't been sent for 2 days. Heiiiii thought it was nice to be told to wait. J & T's threat is severe …"
64," LELET EXPEDITION, period from Bandung to Jakarta 4 days still not arrived. Usually using fast from Surabaya 2 days have arrived. This is from Bandung, 4 days before until 2, it will take too long at the drop center in …"
65," Bad service, the delivery address is clear, but the package arrives in another city that is different from the destination address, SOP for complaints 3x24 hours but there is no confirmation after 3x24 hours SERVICE …"
66," disappointed already 2x packages are often mis-sorted, if traced to the receipt, the delivery turns around, once the wrong sort is the same as 1 day delivery delay. So if there is 1 receipt or 1 package, there are 2 …"
67," Very disappointing 2 times using this expedition the package didn't work, give up next time using this expedition delivery service …"
68, The status has been on delivery from morning ... Until evening it hasn't arrived. Check J N T for the Linggau branch …
69, The worst expedition service as long as I use the Expedition ... Lose period is the same vehicle service which incidentally is much more economical …
70, The delivery was very fast but boong  
71," Don't use the J&T expedition anymore, the delivery process takes a long time ... Even though buying goods together with a different expedition, other expeditions …"
72, PACK PLEASE REALLY HAVE MY PACKAGE 3 DAYS HAS NOT COME USUALLY FROM THE CEPET FIELD PLEASE HAVE MY CONVENIENCE FROM MORNING MANTAU GAADA FOR A CHANGE !! …
73," No good 👎 the stuff takes a long time, mostly going around ""that's stuff …"
74," Garbage .. pay 190k postage, destination fellow Jakarta a week just arrived .. phone cs useless .. kapok kamal branch trash, said cs small warehouse gaad no phone branch, my small warehouse package is big, bgsat, …"
75," My item was lost in JnT's warehouse, he said, it wasn't scanned at the warehouse. A little disappointed with the service, …"
76," It's really long, usually only 4 days, this is almost 3 months too far for my stuff😑 …"
77,NO stars for my order !!! 1 star is just a formality for submitting a complaint
78," Send 14 November 2020 until 23rd November 2020, the receipt is checked, the goods are still at Jakarta Gateway …"
79," The package I bought from the 13th of November until now is still being held at the gateaway jkt, usually only 3-4 days to Batam. After the phone is turned off Hadeh …"
80,It's been 4 days since 2 of my packages have been sent out. Mind you this is Jakarta to Jakarta.
81, The experience of using J&T Express is really disappointing. The delivery took a long time and after a call to J&T that the goods were still …
82, Very disappointed with the service !!!!  
83, THE WORST DELIVERY CARGO SERVICE EVER. ALREADY 3 DAYS MY PACKAGE WAS NOT PICK UP. WILL NEVER USE SERVICE FROM J&T AGAIN. …
84,disappointed
85," The package has been 3 days since my grocery package is unemployed, I don't know where it wasn't sent to the destination city, even though it was fragile. When I reported, the answer was ""yes, just wait"", asked for an …"
86," JNT courier thief !! Very good phone from noon ... I didn't come to the office to send the goods, the reason is there was no sender name ... intentionally sent to the office ... clear to the manager and the name is …"
87, Please NO. NPWP J&T is listed on the official website. This made it difficult for the office to claim the receipt because there was no number. Npwp …
88," Package stag in Jkt 2 days, stag again in Banjarmasin 2 days. Then when will Pangkalan Bun Kalteng arrive? There are planes every day to Palangkaraya and Pangkalan Bun, why do you travel so far via Banjarmasin. …"
89, The name is just an express but the delivery takes a long time …
90," There is no responsibility at all, I have contacted J & T about my package, but there has been no response at all, I think I didn't pay it, bro use daon please understand, where are your responsibilities, the parties, …"
91," Please, so that J&T can be even better. Yes, the package has not been received, the report has been received, I called the complaint from the 14th, until now it hasn't arrived yet. It's really bad …"
92," Sorry if I want to ask, Former Collection point, can you do the Drop Point or not? Please reply please …"
93," Slow service, the package has arrived at the Jakarta transit center since September 4, but until now it has not been sent. After being asked and phoned repeatedly, only then was it answered that the reason for the …"
94," The package has not arrived for 5 days, but in the statement it has been received, the courier number is difficult to contact, please help the Baturaja branch, South Sumatra to correct the courier, not just once like …"
95, Very bad .. The expedition was very good  
96,Rubbish!!....worst of the worst expedition.
97," A disappointing experience at J&T Express Kranggan BKI07, the day before I set up a pick-up for 3 packages but no courier came, ok I think positively maybe there are a lot of deliveries. The day after I came to Jnt at …"
98, Very bad experience using J&T ... promised to pick up yesterday at 12 noon ... told to wait until 11 o'clock in the evening ... now H + 1 o'clock 12.30 hasn't been picked up yet..BAD! …
99,Think twice to use JnT... very bad handle package
100," Duh, jnt service is getting worse 👎 I've packed neatly without any defects. Until the customer it leaks. How the heck, if transportation is good. I have also seen that in the office there are no packages that are …"
101," Please tell the courier to know, if at the destination there is no one who receives it at all, don't put the goods in front of the house, if the goods are taken by someone else / lost, do you want to be responsible? …"
102, Very bad service. I call a day until 4x No solution Never recommended …
103," The delivery service is the worst compared to other delivery services, please act on your courier at the Palembang branch Kertapati ... How many times have the items I ordered did not arrive at my address. …"
104,"Not recommended at all..useless, unprofessional!!!"
105," Parahhh !!!! The worst and most dotted experience in this expedition .. Calling CS is useless, how many weeks haven't we arrived "".. EXAMPLE DONG JNE AND SICEPAT, call to CS immediately the problem is resolved !!! …"
106,"Very bad experience.... call center no have good attitude, protect the bad issues on the outside. No more change habbit. I asked about the drop point position, he tell doesn't know about that. As any more negatif reviews on this review's board , it is true!!!!!"
107, J&T service is now UGLY !!!  
108,Stop using JNT service !!! The call center is BAAAD ! didn't help at all!  NOT RECOMMENDED !!
109,"The award of the Worst delivery service of all time goes to JNT! Congrats! I had requested for pick up order and no one is coming to get the package, no initiative for calling the customer about pick up the order or maybe would like to …"
110, Today's flight departs to Bangka to send goods at what time and until what time …
111,"So far so good, I guess 👍"
112," mania, the most severe expedition that I know of. the package has been clear for 2 weeks being asked carefully instead, the J&T party was stuck. I swear this is the most rotten expedition that I know of !! …"
113," It's bad that JNT doesn't match the name, but it doesn't arrive. …"
114, May always successful  
115," Really ugly. Gausa use. 5 days have not been sampled even though fellow Jakarta. We don't need to use it anymore. We, the boat just went bankrupt …"
116,Good
117," The goods have been sent to the destination city, but they are not sent ... the nation * …"
118," Very disappointed with the J&T service ... purchasing goods at Tokedia, the notification has been declared already received, even though it hasn't. After waiting for 1mg there was no good intention from J&T to finish …"
119," Very bad, Ig comments were closed, DM Ig was not replied, sent emails with no response, cured, speechless …"
120, It took a long time ... I used J&T  
121," This is a defective expedition, from the 11th until the 15th, it hasn't even arrived yet, to go to heaven, how come the courier is here! …"
122," The item didn't arrive, the cs didn't help either ...  "
123," give up, use J&T XPRESS, the name is only slow but slow  "
124," This time I was really disappointed with J&T, I usually send food / packages 1 day until ... It hasn't arrived in 2 days, ""Confirm to the call center, said wrong sorting ... …"
125," phone cs to request a new receipt opening but there is no solution at all, and how long is the process ... disappointed …"
126," West Jakarta to Tangerang 4 days not arrived. Day 2 arrived in Tangerang, but the delivery time didn't arrive. What is this stupid? …"
127," Surprisingly at J&T, the status period from 07 to 11 has not changed, but it still continues. It didn't arrive, the status on the track wasn't clear either, really …"
128," hopefully no one else uses the services of this expedition .. very disappointing .. send jak-team goods to bekasi on 30 May, the items have not arrived even though it was on 11 June .. helllooooo ??? Does the …"
129," Not appropriate and not in accordance with the news reported, just check the ads on detik.Com expeditions that do not contribute well to customers. …"
130, What a mess. I didn't receive the package ... It said it was delivered ... What about the party j & t …
131," My package from Jakarta to the address in Jakarta has not arrived in 2 weeks. CS repeatedly called the answer is always the same: we will convey to our related team. If you can't work, you don't need to set up an …"
132," My package from the 7th yesterday until now has not been sent, please help the work of J&T. That's someone's order, please deliver it at the address indicated. Don't hold my package. It's paid, doesn't owe mine. …"
133,SUPER BAD SERVICE !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
134," Package several times endurance almost a week. the notification in the application was written that it had been rescheduled with cust, even though there was no contact with all the scalers, then the clender branch …"
135, Super bad service Couriers in most areas send lazy goods …
136," My order was lost at the time of delivery, but why am I said to have received ... the most irresponsible shipping service. Check the courier using a fictitious courier ... there is no phone on the phone not picked up …"
137," I will gladly review the 1 star bt j & t. From year to year the service is very bad, the goods never arrive on time. I ordered goods from June 3, 2020 until now, June 8, 2020 goods still exist in J …"
138,worst service ever!! find another courier service.
139,Poor service.
140, Hai😎  
141, DELIVERY MOST cotton !!!!!  
142, J&T expedition is the clearest. I have been stuck in J5 warehouse for 2 days using the reason of passing the drop point operational hours. I haven't worked in 2 days. I'm dizzy call center is also not useful. That's …
143," Until confused with J & T, dilapidated service. I shop at the shopee using J&T courier services. The courier tried to send it to the destination address but by chance there was no one at home. Until finally …"
144," terrain Jakarta goods from the 14th may send until June 4, they were not received, and instead sent back to Jakarta, sorting wrong ""so what exactly is working? I have been sent back to Jakarta, asking for more money …"
145, COURIER THAT NGANTER IS LESS TEACHING. MAEN PACKAGE IN AJA THROW. IF THE COURSE RECRUIT IS TRUE …
146," Worse, the goods were shipped from May 30, 2020 till today, June 3, they are still in warehouses, J5. 2 x 24 hours, the status is still on j5. Severe original …"
147," Expedition management quality is poor and disappointing, packages settle at DC Pulogadung for days without clarity, customer service no response, very bad service to consumers. I give up and will not use this …"
148," Old goods should arrive fast but drop points no shipping at all. Every item that I bought quickly arrived, even though Corona tp with J&T took a long time to arrive. The expedition is not a recommendation to be used …"
149,👍👍👍👍👍👍
150," The worst expedition, the goods are always to late, very slow, shipments are often delayed can be up to 2 more days …"
151," The delivery is long, until a few days late. Even though the goods ordered, again, it needs to be fast again 😢 …"
152, NOT RECOMMENDED AT ALL ... POOR SERVICE AF. BETTER TO USE OTHER SERVICE. IF THERE'S NO STAR. I WOULD EVEN NOT GIVE YOU A SINGLE STAR ... …
153, Make hashtags on MEDSOS especially Twitter. #JN What's worse is what's the same. The service is really bad for long shipping. If you make a review on the atwmap on the consumer website it's useless. Let …
154, Mesen goods on the 20th until the 30th day also didn't even arrive all over Jakarta. …
155," How bro we ordered pesen cashew nuts, Eid already far away, the package hasn't arrived yet. Why don't you eat the mice. …"
156," If there is a half star better I give half ... Severe expedition, better use other expeditions, slow, sevice very disappointing …"
157," The item hasn't arrived at the address, but how come the system has been confirmed by the courier that the item has arrived? …"
158," If you can give me a star, please give it to me. The packet can be pulses in DC for 3 days or not on the anter stack there …"
159, I know good manners ... please act ... j & t drop points. Buaran jl Buaran raya …
160, There are no half-stars  
161, I'm speechless  
162," JNT Cilandak 2. It is not recommended for Cilandak 2 to use this service. The 4 day package here hasn't been delivered yet, the report to the location was promised the next day it was sent, but the next day nobody …"
163," This isn't right, my package was at the nearest DC on May 25 yesterday but it isn't delivered until now to my place …"
164," From Bogor on May 22, 2020, until today, on the date of 28 months until if it is counted, the Eid holiday should be until 27 or 28 …"
165," E-commerce must consider the quality of logistics partners. From South Tangerang to South Jakarta, goods have not arrived in 5 days. Isn't it cool? …"
166," The package is stuck, stuck in the old DC really ... CS is hard to contact ... …"
167," The service is very bad and not very recommended, My items have not arrived to this day and according to the status of the goods are in DC cakung from May 21, until today May 27 the goods have not been sent. I have …"
168, My package has not been received even though it has been telephoned 3x with a standard answer I want to ask to warehouse. without a solution there is no solution. he said j & t operation 24. even told Eid still …
169, Very bad  
170, Long time ago  
171," It's better if you use Pos Indonesia / JNE, say Brang is in Drop Point A, but apparently Brang doesn't exist, …"
172," The service was really bad, different from the beginning I was present more ontime, the CS was fast response ... the more here it has become crowded so the service decreases ... many of your rivals remember that there …"
173," The delivery took a long time even though it was close ... From the shoppe 1-2 days estimate, but until now the item hasn't arrived yet ... in the J&T application, it's still 30% not going up its percentage. …"
174," My stuff hasn't arrived from May 20 until now, it hasn't also come yet, how about J&T, I'm really disappointed that the goods from central Jakarta to West Jakarta have been taking a long time to order my bagets from …"
175," I am very disappointed with your service at J&T Express ,, the item I bought at the online store was sent by J&T EXPRESS dri date 20 tpi until now it hasn't arrived and what's worse when I check the receipt number it …"
176," the longest choice of courier anternya, losing to the choice of a new courier, always complained because select this courier, do not match the express logo, courier is slow …"
177," Satisfied bat n is perfect, understand, bro, if it's too late, do you really have a lot of packages? If you shopee platform can be a strong cod, if you choose, you have to express so it doesn't take long if you don't …"
178, The item hasn't arrived yet  
179, It is better to have a quick schedule etc.  
180, How come you don't use the package! On process continues😠 …
181," I sent the package from the 14th, stuck in DC. The Pesanggrahan continued. That's the product you want to use, hello. This is really bad J&T for a long time. …"
182," Please, this is the saddest expedition. Prices at the most expensive shopee because the fastest estimation says it turns out NULL !!!! 4 days stuck at JKT gateaway !! There are no signs to deliver. On the phone, just …"
183, Goods can not be taken alone in a warehouse even though the goods are stuck for days not at Anter. The reason is the package in the warehouse is thousands. Yeselah the name of the cargo cargo package warehouse …
184," Goods not delivered, but the status has been received, when will I receive it? like this, who wants to take responsibility? If asked the answer given surely there is no result …"
185," Please, please send the packet to read the address, the mass of the Bekasi address packet is straying to Karawang ... right? !! FOOLISH …"
186," The hardest delivery ... the period from jkrta to Tangerang was a week, ""instead I strayed to Surabaya ... fell even more stupid ... life really makes me stupid …"
187," Sent on 16th from Bandung, from 18th until 21st May still close at the J5 warehouse in Tangerang ... BAD !!!!! …"
188," The delivery process is always long ... don't understand, what should I do, how different is the same from the expedition that is already an expert, because on the same day the expedition arrived, it didn't happen …"
189," The worst service in the service sector. This company doesn't see the customer's review this time. You really need that customer. Sending from the 10th until now, May 22, it hasn't arrived "". Branches everywhere the …"
190," The service was very disappointing, my items did not ship, instead kept silent at the beginning of the shipment …"
191,"Worse services!! My package is not arrive since May 10th, 2020. And today is May 21st 2020. You used corona for the alibi. But other expedition is okay with that case. What will you do if my package is gone because of you?!"
192," How about CS! On the phone instead turned off! I just want to ask my item, why didn't it arrive even though it was written on the web the package has been received! So chaotic …"
193," My package has been stuck on sunter since May 19, 2020, what if the fresh plants die, is the Jnt responsible? …"
194," When do you want to send all the packages ?? ... How sorry for being told to wait a long time like this for 1 week, the warranty for 24 May, when this is 21 May but the goods are still being held at …"
195, Courier please give no to the person  
196," The closer the Lebaran the more slowly. Lose far sm jne. Palembang just to just 2 days, doesn't move. …"
197, DiTracking actually gives a strange information. When I saw the reviews it turned out that they were all 1 star. …
198, Cook the old package in Jakarta ... what's the problem  
199,Pretty huge office. But for service is worst.
200," Goods from jkt want to be sent to tangerang, check it is ready, so it goes to bandung haduhh …"
201, The regular package for 2 days has arrived in a week and it doesn't get rotten. Woyyyy compensation …
202," It's useless to comment or complain about poor service, if there is no follow up from the company's board of directors. May the Lord's board of directors give taufi and guidance, so that they can change. Do not lie to …"
203," Great now, very fast shipping  "
204," Bad service, 2 days package at J & T Tarumajaya, but until this moment it was not sent to the recipient's address, while the distance from my home to J & T Tarumajaya is only less than 2 km, where the items purchased …"
205," My package is taking so long, I don't want to queue up for 5 days, it's better to use fast or JNE …"
206,"The worst ever! The customer service didn't help at all and the delivery time was really bad. Please just use other shipping company, not recommended"
207," for the third time, when the goods were near, nothing arrived, it was a turn to look for it at Drop Point, the office had not been found, but it was still on the website. the phone call was never answered, once the …"
208," The goods from the 13th are already in DC PULOGADUNG, the estimated date is 17th, but the 18th has not yet arrived, even though I only send to RAWAMANGUN not just one package, but some of my packages are old in DC …"
209, Slow ... almost holiday effect ...  
210, It's been a long time since the delivery is almost going to take a week in Cilandak. …
211," How bad is this, I didn't get it on the phone, I just told it, I know how bad it is, there's no confirmation, even though the delay is too good, I can't confirm it, I'm calling on the 14th, right now, what's wrong …"
212, The package has not arrived in 6 days  
213," Worse, I don't want to arrive all night It's stale and it's eating …"
214," Jnt, this is very bad, the service, the goods are already in the warehouse, haven't been queued yet if they haven't been delivered or queued up until 3x I have sent them to the warehouse, it's bad, the service isn't …"
215, Already at the office ... contact the courier ... the package still hasn't arrived ... when it was checked at the king ongkir ... the item description has been sent ... Hadeuhhhh …
216, From Tasikmalaya it's usually fast ... this day is still at the gate away ... …
217, Jnt again bad  
218," Good evening, I want to complain about the package delivery via J&T Express, I ordered a package at the Shoppe, the package has been received at my address on my behalf too, Fajri Mentari, but the package is not in my …"
219," I was disappointed because I was confused, the item tracking report was received on Friday at 11:30, but in reality I had not received it, where the package of goods for me was stuck. …"
220," If you don't pick up yourself to the nearest agent, it will be gone …"
221," Worse Services. Old, like being late and not having clear customer care. …"
222, Send files using jnt until the destination even tangled like a chilli wrap. Even though it's an important file. Very disappointing. …
223," Please ask for mercy. Send from North Jakarta to North Jakarta for 4 days, it didn't arrive. In the description of the goods will be sent to the recipient's address. Then the night failed to send because it ran out of …"
224," It took a long time for my package to arrive, I was very disappointed that the package was sent from the 11th until now, the 14th I haven't received it yet, I already use the express package because the food, if it's …"
225, dear admin J&T.  The track record of the shipment has arrived at the Cikarang location from …
226," Sumpaaaaaaaahhhhhhh after a long time, why does it take a long time, drop point until after a few days until it takes a long time, not even for a long time. …"
227," The worst delivery I have ever felt. My package was only passed from one sub-district to another. Knowing it was a mistake, then returned again, then thrown again to the wrong district. Even though the address is very …"
228, 10 hr hasn't arrived  
229," Anjiinggg JNT bussuk ... 1. Send the packed dinner package until the jar and cans are broken, dented. 2 send the item, there are two recipient addresses in the same package ... …"
230," How come my item isn't sent ""from 2 days ago, it's not sent"" to the DPS. …"
231," So rotten. The courier eats blind salary. The origin of the carrier is that if I don't know the address, I say no, it's not active, etc., in my attempt to find the address. …"
232, When new players 
233," the first time I used the J&T Service the goods sent were destroyed, but there was no responsibility at all .. the second time using this service the goods were not held in the warehouse until 5 days. promise to stay …"
234, There are 3 packages that I have been in Pulogadung since 5/5/2020 want to arrive when it's in Pendem ... That's the package containing food ... If it's destroyed ... Can't be sold ... If the shipping price is cheap …
235, The worst expedition .... damn ..... why online shopping applications can work together with this expedition. It's been 2 days my goods have been held at the branch warehouse. Even though it's close to home. It was my …
236, the item didn't arrive even though I ordered it 4 days ago …
237," The package from Tanjung Pinang Ajjjh is day after day. Udh smpe d jakarta ajjh udh berhari.day. when I was in trasing at the center of the crocodile swamp, it had been 4 days no longer, even though it was far from …"
238," It's been a long time ... even though I checked the receipt, it only left the courier ... 2hr is unemployed, it's a package ... if the food is stale ... "" …"
239, Actually good overall makes it easy because now it is close to the Banyuresmi area. But the courier who likes to go home is really not polite. …
240, This expedition made high blood pressure ... Bad  
241," The J&T arrived quickly & the goods were safe. The courier is also polite, fine👍 …"
242," Really disappointed at this expedition ... I sent the items on March 27, 2020 when tracked per May 4, 2020 "
243," From Jakarta bekasi takes days. Even though I already use the regular one. Next service is not regular, send it to you the next day. It's been like this twice. Habits like delayed delivery …"
244," I don't know, but can't call the call center. Then the package for office delivery should be able to arrive today at 2 pm when the customer is off. Even though I entered the office at 6 pm …"
245," The package is not delivered at the same time as the courier. Instead, it is stored for 2 days in a warehouse, even though the package is food: "
246," Performance is greatly decreased, the package status has been in DC Jatiasih from May 1, 2020, on May 2 has not yet been delivered. I went to that night to take my parents in DC because they happened to be close but …"
247," TODAY IS RIGHT WHEREVER, ITEMS ALREADY ENTERS ACCORDING TO THE ADMINISTRATIVE ADDRESS, EVEN IS SENT BACK TO SUNTER AND SENT TO OTHER CITIES .... ??? YOUR TEAM IS HEALTHY ??? CAN I DIFFERENT TANGERANG SAME BOGOR NO ??? …"
248,"Poor service, not recommended!!!!!!!!!"
249," Sebenerny lazy if not, but in the online shopping application only. The item arrived until it was delivered to the person and the courier didn't tell me at all. Even though the number is there, all you have to do is …"
250," Sebenerny lazy if not, but in the online shopping application only. The item arrived until it was delivered to the person and the courier didn't tell me at all. Even though the number is there, all you have to do is …"
251, The service is bad. Often stag packages in one place for days. New complaints must be sent again. There was never a packet lost too. …
252, BAD!!  
253," Not good stuff from e-commerce in North Jakarta, but it took more than 5 days to go to East Jakarta. You lose to other competitors …"
254," It used to be when JNT was the fastest when sending goods, now it's the longest …"
255," Good, fast, handalllllllllllllllllllllllllllllllllllll  "
256, Chaotic.  
257, What kind of company. 2x send lost items. There is absolutely no apology from J & T's drop point. No recommendation. Especially those who take care J & T uncle. SUBANG. Not professional at all …
258," J&T SEVERE HIS SERVICE. COURSE, IT'S NOT PROFESSIONAL. ENTAH PACKAGES UNTIL WHO IS HANDS. HIS TRACKING INFO PACKAGES HAD BEEN UNTIL. NEVER USE J&T …"
259," If you can, ""he said, it was a bit polite, thank you ... 🙏 …"
260, A few testimonials about the service jnt  
261," the courier has been phoned by wa, how come the number cannot be contacted I have just returned the address, but sent it …"
262, How can the courier enter the item into the popbox and then we aren't given the password ... what about the item ???? …
263," Improve the performance of JNT many cust disappointed. Moreover, JNT cab Cilndak 2 is stuck on a 4 day package without moving and this is the umpteenth time. …"
264," SEVERE !!!! VERY VERY DISAPPOINTING, USING THIS JNT SERVICE !! NOT ACCORDING TO ESTIMATION, CALL CENTER IS HARD TO CONTACT, STATUS OF ITEMS DO NOT CHANGE !!! SEVERE NYESELL …"
265," The package has not been delivered for a week, even though it has already been sent to the sub-district of Udh. It wants to be sent to the recipient's address. PLEASE DONG IS THIS GMN? !! I lost! …"
266, Let the stars judge  
267, Just crush it  
268," Courier is not stupid, I sent a package to the customer who knows the package, who is the status, and has been received, but the recipient of the other person, is looking for a village. …"
269, please act on it. i & t is getting more and more broken my package did not arrive ... it was so insolent ... …
270," *** DO NOT USE THIS COURIER SERVICE ***  Very bad delivery courier. 2X using J&T, the 1st item never arrived from April …"
271," It took so long ... even though using a different courier, it arrived in 2 days. …"
272," The package didn't arrive when I was sent to ciputat when it was received by diamond, obviously my address on the name isn't diamond, what do you say about it really? …"
273," 3x using this shipping service, the description of the goods has arrived, the recipient on my behalf, but I do not feel accepted at all. …"
274," Delivery is very, very bad. Three times the package information arrived and was received, but I haven't received it and it turns out my package was brought home by the courier ... …"
275," Please help me, please don't tell me why from Sunday, I didn't deliver the address. Stts are stored in the warehouse, even though the courier and other couriers are still available, why not. Is it lockdown? …"
276, The package has not been sent for 5 days  
277," The packet is lost, so it's not your responsibility. This package is for Cilandak even though the du treking is also in Cilandak for 2 weeks until gasampe …"
278, Not responsive -_- too slow. Packages can be delivered to one package within a week. …
