,Ninjavan TH Reviews
39," Expeditions & couriers are not trustworthy. There's a naughty courier. My package from tempo scan dkrm to a different address. After all, there is no confirmation before delivery. The one who received is not …"
40," Why is it that every time I receive a package from a ninja, it's definitely never correct, now my package doesn't even arrive even though it's already at the destination address, the courier finally brought my package …"
41, MY PACKAGE HAS BEEN STANDED FOR 11 DAYS AT NINJA EXPRESS AND HAVE NOT BEEN DONE!!! BUT THE NOMINAL IS HUGE!! 1.6M ORDER FROM LAZADA!! …
42, Menntang2 order cod system rarely arrives with the reason that the buyer's money is not sufficient. ️ …
43," Very bad..... just used this expedition for the first time, and gave up!!!! My item hasn't arrived yet, wow, it's been a week …"
44,Good delevery service
45,It has 2 times i use this service.. so bad response
46, Is there a half star?  
47," Very bad there is no recommendation solution for those who want to use ninja services, it's better not to, the service is bad …"
48," Please, please deliver my package, from the 9th until now it hasn't arrived yet.... it's really bad, please take responsibility …"
49," Which central telephone number, this is my package, it didn't arrive from September 21st. Instead, it went back to the seller according to the lazada apk …"
50," Tokopedia marketplace orders with ninja express pickups always arrive in 3-4 days, it's been more than a month. Disappointing. Please management, don't make excuses for overload, just close or cancel the order if it's …"
51, THE SLOWEST DELIVERY SERVICE IN INDONESIA.  JAKARTA TUESDAY TO FRIDAY BLM ARRIVES IN MALANG CITY. …
52," The problem of long delivery is normal, but I was disappointed with one of the ninjaID couriers who seemed to ""cheat me, Deliver the package at night"" and I paid with 50 thousand and the courier said there was no …"
53, The delivery is long  
54, Try recruiting LG drivers who have a lot of bosses  
55," It's too bad that the delivery took a week and it failed to deliver, you guys did a good job …"
56," Kapokkk maakkk.. Better to use something else. Severely slow, plus too much parking. …"
57," Use another courier from the same area and destination 3 days to arrive. This is it 😂 , it's true that the delivery is not optimal. …"
58," Ordered the package on the 09th. Just picked up on the 13th. Sent on the 16th, even worse, neither me nor my family felt that they had received the package. CRITICAL. Please pay more attention to this. SUKARAJA …"
59," TO THE DEAR NINJA XPRESS COMPANY.... yesterday night and this afternoon I got a WA claiming to be a courier from NINJA XPRESS so that I prepare 13,000 money,,, and I never feel like ordering goods so that WA has …"
60," Mostly transits.. even though the distance is close, why do you have to transit again from Jakarta to Jakarta,, what if you leave Jakarta.. I can't imagine it.. every time you buy goods online using ninja services, …"
61," Bogor Bekasi delivery took up to 5 days, the package was destroyed, even though there was a graphic description and don't slam it, first and last experience using ninja express …"
62," The delivery took a long time, there was no one to contact CS Don't recommend …"
63, Disappointed with ninja  
64," I've shopped at Lazada twice, the delivery is using ninja express, it's slow. It used to be more than a week, didn't send it now, I ordered it Wednesday until now, it hasn't been sent yet, oh my god, I don't want to …"
65, It's so bad... It's been a long time.. the status is still on the way.. hadeeuh.. the employees who gave 5 stars for sure. …
66," Please, ninja express, where is my package, I ordered it at Lazada which should have arrived, I waited until 10 pm but my package has not arrived, around 11 pm the WhatsApp courier said it would be sent today, I …"
67, I want to ask admin.... at ninja express when will there be job openings 🙏🏿 …
68, HOAX this ninja.. just an ad.. my work is slow like a snail.. …
69, pickup request arrived at follow up 2 times still long  
70," Sis, the item that is in the name of Rita Nengsi, Temiang Village, please don't sell it to someone else, sis, please send the item to me this afternoon, sis, around 3 or 4 o'clock …"
71, Where did his house come from !!!  
72, My item is broken and no one is responsible for my order via lazada I've chatted the seller it's the responsibility of my ninja chat ninja is the responsibility of the seller... …
73," Good service. The courier will confirm and ask for an address in the form of a map location. However, for the information system I provide suggestions for improvement. Because when connected with Olshop, there is a …"
74, Aduuuuhhh..sorry for using this delivery service...the package hasn't arrived yet..also …
75," The package delivery has failed twice. Because. Send it last night. It should have failed once because of lateness, the next day will be a priority. …"
76," Come on, let's go, the food has been cooked for 5 days and it's still popping up in Jakarta. In fact, it's a total failure. I've been scolded by my friends again, usually I use another delivery service for 2-3 days, …"
77," Don't want to use this delivery service, I open a business every time I order using a ninja delivery service, definitely if you return it from the buyer, it won't return to the seller, some of it is lost or the …"
78,Nice place 4 work👍👍👍👍
79, Never fast delivery is always slow even late  
80," Those who want to try using this, don't just use another expedition, this expedition is very flawed, the pickup of goods 1 week from the request is already so the package goes round and round, it's better to use …"
81," Hi, sorry, do you have my package? because I pressed it with my sister, the order has been received using Shopee, the name is Elsoraya, thank you, sis, please send it home if you have it, pleaseee, sis …"
82, Worst expedition. Please just close it.  
83, Moon is repaired again  
84," Why does Lazada have to use ninja shipping.. I've changed the package several times.. it's better if the kamren is replaced, it's still worth using, even though it's far below the price of the pants I sent... these …"
85," Ninja couriers, most of the time, if cod is not trustworthy, the thief shows the west jakarta area to the bonjeruk Call the courier immediately, returned goods are not returned, want a thief …"
86, Worst Expedia Ever. I'm not going to use it again. Very disappointed …
87, Slow delivery  
88, I tried to call CS and have been waiting for a long time but no one picks up. Very bad delivery service always wrong when doing pickup. For 6 months running is always wrong. I was reprimanded from the start in a …
89," Okay, this is the worst expedition. My regular package can be more than estimated "
90, Slow in delivery.  
91," It's been a long time playing package status from 5 am not yet until this afternoon.. At 11 in the afternoon, it's not a problem. In the afternoon, it's not yet in high school.. …"
92," Super duper took a long time to use, delivery is great again... It doesn't match the name ninjja xpress …"
93, sent the goods until now it hasn't arrived already 1 month …
94, I'm a little disappointed that the delivery is really slow :
95," Today I received a package of clothes, and it turned out to be hurtful, I felt cheated by the seller, it wasn't what I wanted, didn't order online anymore...😔😔😔 …"
96," Every ninja who brings my package takes too long If I know the ninja who brought my package, I'd rather not shop online …"
97, Expedition that takes a long time in terms of delivery. Hopefully there will be a change. …
98," This is Ninja Express's head office, yes...You can't send/drop items here... …"
99," HOPE LAZADA CONSIDERING COOPERATION WITH NINJA VAN ID,,, VERY LEMOOOOTTTT …"
100," NVIDNINJA001291795 where is this package number, how come it hasn't arrived in 2 days …"
101," Pakettt is stuck in Jakarta, it's been more than a week that my packages have not been sent to their destination, what is this! ?? WHERE'S THE COURTER !? …"
102, After reading people's comments ² I hope that my package is safe until its destination …
103," My package is lost, recommended  "
104," Very disappointing, my package, which was supposed to be sent to Kediri, was instead taken to North Maluku, so the goods didn't arrive ,, …"
105, worst shipping service  
106," super slow shipping, out of town feels like out of the country. …"
107, It was great that the ninja express pickup courier with wa number 081297280456 nagged and nagged at me just because of the difficulty of picking up goods at my house which is in a narrow alley. Really great attitude …
108, satisfied using this  
109," the name is only Ninja Xpres, the delivery is really slow, what does the courier do to walk? …"
110," The first time I used a ninja, I was really disappointed, I wouldn't use another delivery service for the longest one week in Jakarta …"
111," Very, very, very ugly, the promise between food packages is 4-7 days, but until almost 2 weeks the package hasn't arrived at all, the food is all expired …"
112, The worst expedition in 5 days didn & amp; # 39; t arrive .. even though it was only a fellow Bekasi .. 5 days from Bekasi to Bekasi it didn't arrive until it was walking or crawling ?? CS is also disrespectful .. …
113," It's been almost 2 weeks, you know 😂 my package still hasn't arrived, I've used this courier a few times, but it's still slow Already just change the name of the snail xpres😂 …"
114," sent using ninja ... it's been 10 days lom came too, pdhl see status again on the way …"
115," What is this courier service, my package is still in the city of the reseller, it's been 1 week ... it's better to just disband. Change the name to a leech …"
116, LELET ALWAYS RESCHEDULE !!! COURIER ALWAYS REASONS NIGHT FOR THE DELIVERY !!! …
117, The real badly slow ninja has been nearly 2 weeks until my stuff is here …
118," ""For a faster response, please chat..."" BACOD! Chat for more than 3 hours, no response. Email more than 1 hour no response. …"
119," This is how my message has been in the week, not until it has arrived, I'm rushing out, admin …"
120, Lamaaaaaaaaw  
121," The longest shipping expedition to arrive is Ninja, the name is Ninja, but the delivery process is like a snail. …"
122," the name of the express ninja should be changed to the snail ninja, the delivery took too long to be unclear "
123," I'm embarrassed by the name of the slogan he says ninja but is rich in snails ... On foot, the courier is carrying the delivery sack, how do you want it hurry …"
124," I don't know, I don't understand the same, the sending service, email has got a definite answer …"
125," courier is not polite, sending packages in the middle of the night while shouting screams, it's bad the new experience is like this from the many deliveries …"
126," It's bad the expedition is the slowest and it's not clear, the usual ninja exprees, the package is only 2/3 days, but if you use Ninja Express, it can take up to a week, don't use ninja expret, your old friend …"
127, WOULD THE EXPEDITION GA PROFESSIONAL !!!!  
128," The package I sent from Jakarta to East Java went to Banda Aceh, almost a week it was silent, it was not sent to the right address, even though every day it was CS but there was no certainty. …"
129," Wow, it's bad, the package took a really long time to stop moving, where do you want to use it for work again ... sad: "
130," Actually, I want to give a 5 star because it's normal, the package is fast, the sample is only there are only the Q packages that have arrived today, it's been 2 weeks, it hasn't arrived yet. …"
131," I as a seller in e-commerce is very disadvantaged by this courier, request pickup is always delayed 2 days just picked up, while the drop point is far away, it's useless to have this courier service because as a …"
132, OK  
133, Cool on time according to the order schedule  
134, Not worth it very long delivery not like JNE J&T TIKI LEX SICEPAT …
135," The goods have not arrived, please provide the info for Ninja Express Balikpapan, why did the package take so long to arrive, even though it was already in Balikpapan, after that the parcel was sent, I checked again …"
136, This is where I live  
137, delivery takes very long beyond estimation  
138," I've been waiting for 5 days when I asked you to come tomorrow ehh it didn't even come, please fix it again …"
139," Very disappointed, because I didn & amp; # 39; t order the item ,, it has been 2 times how to return the item again ,,, while there is no notification from Lazada ,,, …"
140," G really good, I got a report from my sister and brother, the courier was not polite, harsh words were spoken on the phone asking for cooperation, I personally have no problem, but it's better to speak politely He …"
141, The Old Package Did Not Arrive ...  
142, How about the q package please  
143," The first time I bought at Lazada and got this delivery service, the scheduled date of receipt was 25-26 then yesterday there was a notification that the first delivery attempt failed, I'm waiting for today until I …"
144," The shipment had not been sent for 8 days, suddenly it was canceled unilaterally by NInja. …"
145," Buy couple dish clothes * to wear photos for children's birthday events, from the 21st afternoon, they have been processed, send to the current date, the status is still being delivered to your address. Which address …"
146, The first time I send the cod packet ... the goods have been received by the customer and the money has been paid for the package ... but the ninja application is returned to the sender ... the money is in the hand of …
147," Dizziness, so I don't wait for goods from Lazada ...  "
148," It's crazy if it's like this for a long time, online shopping enthusiasts can decrease, plus Shopee can't choose jsa expeditions, eh the ones who get the ninja give up will wait, the delivery period can be more than a …"
149, The old process ... Bhkan pket is left in the warehouse all day😓😓 …
150, This is also the same company engaged in shipping services …
151, The slow ninja only uses express.  
152," The first good impression, buy a package on the 15th to the 18th. Not bad, the price is also cheap. The Exo lightstick that I bought arrived safely. "
153," in shoope, the delivery service can't choose now, then right when I ordered yesterday I got the ninja xpress, how swear it is😭 and many people who keep sending it take a long time, it's not safe ... …"
154," Sis, just fellow Jakarta, until now, haven't arrived. Bs tlng checked. The period of losing with another expedition of 1 day arrived between Jakarta. Disappointed. Kapok next time it's better to use another …"
155," Hopefully it will be better from other shipping services .... I've received the package, thank you …"
156," Crazy, the package in a week hasn't arrived ""after a week ago, the receipt has been updated by the seller. Meanwhile, other shipments have been delivered in 2 days maximal from the same city, do you know what's in it …"
157,Good
158," Longest expedition in the process of delivery. From one hub to another, it only takes one day, even though it is in one city. Not to mention that the sorting process in the warehouse takes a very long time, almost a …"
159," How can my package just haven't arrived ?????? Just stuck there again, even though the estimate was received on the 8th already on the 9th and still hasn't moved. Arriving from Bogor to South Jakarta, it was 4hrs. …"
160," It took a long time to send, the process took too long in the warehouse and the same as the transit, other packages with regular delivery have arrived at this point. …"
161, Does anyone have courier phone number in the name of Denis Subrata? My package still hasn't arrived …
162," Why do I stay sorted for packages, this expedition is so bad …"
163," Yailaaahh pantesan ... You know, read the review first and then use the service ... I think it's fast and safe as the others. It turned out to be more amsyong, late beyond the estimated time …"
164," This was the first time using this expedition and was immediately disappointed by the courier. You can train again for the courier. Who is polite when it comes to customers, don't STILL. Thank you😊😊 …"
165, Great The expedition is recommended anyway …
166, The delivery is really slow !! Please improve the service again. It's a little bit faster if you can. …
167," Very slow, I should have arrived at my house in Samarinda but so far not yet, usually only 3 days until my package has wanted 1 week, just netting in Jakarta …"
168," My package from Thursday is going to be sent to the destination but now it's Monday hasn't arrived yet ... WA's courier turn is already 21:47, tomorrow is the same WA courier again at …"
169,Ok nice
170," Bro, my package, where is my package? It's really late, I got the email it was supposed to arrive yesterday, instead it failed to send from the Xpress trade, hadehhh, gimna si …"
171," It's really bad that we as sellers want to send it to the express ninja like it doesn't have the price, the one who wants to send it has to go to the front of the milkman because the courier is not in place always …"
172, The delivery process of Surabaya-Semarang is long .. Another expedition will take at least 2 days until now I want 5 days or not …
173," Ninja Express took a long time to ship from March 28 until now. It's really bad, now order the old stuff until it arrives. 😡😡😡😡 …"
174, It's been 3 days the package has been in cakung but there is no latest update …
175," The pickup request was not taken, he said the wrong address, just confirm it & amp; # 39; s not there …"
176, The courier is songong and naive ... can you teach me manners or not ... !! ?? Just fire the courier like this ... …
177," Please send this important package since 4 days ago, but what, it didn't arrive. Today is March 23rd, suddenly my package was canceled without any clarity. My follow-up also had no satisfactory answer. Please …"
178," Ninja expedition services are less professional in my area, juwana pati Central Java. take the package, not count it first, immediately take it away. If it's like this, it's confused too. Send 50 seeds counting 48 …"
179, How long does the delivery take  
180," THE NAME IS XPRES, BUT WHAT WOI, 4 DAY GUA PACKAGE GK NYAMPE2 PADAHAL MESAN IN SURABAYA TO MALANG DOANG, 4 DAYS STILL IN THE PASERUAN WHEN I DO NOT WANT TO USE, MAKE EMOTIONAL PEOPLE AND BACKGROUND. SIPUT, INTENTION …"
181," LONG Pickup, LONG DELIVERY .... Astagfirullah, lots of patience, only x for the first time using a ninja, that's because the sh * p ** system doesn't have an expedition option. Trnyta was sent …"
182," Where's my package from Lazada stray, woyy ?? the notification should have been that the package had already been sent home from kmren ... but until today my package still hasn't been reported ... it's soooooo new …"
183," It's really ugly the notification was sent at 6 until now, the item hasn't arrived yet at 5 in the evening. …"
184," online purchase has not been picked up at this time. after purchase from yesterday morning. the shop has submitted a picku from yesterday afternoon. Until now, there hasn't been any update yet. Why don't you pick it …"
185, Fast delivery  
186, Returned goods never return to the seller. Please pay attention to the ninja couriers who are not honest .. where have we ever signed like that. And this is just one example of a lot of lost items being sent back to …
187, Old package delivery  
188," Far from being estimated, delivery is super duper slow  "
189," The delivery response is slow, it's better to use the Fast …"
190, Excellent  
191," The service was very bad, I used the ninja service, my package, the status information failed, notifying from lazada, there was a Japri, I said it wasn't enough time and it would be resend, but it didn't work until I …"
192," If there is a 0 rating, I will give a 0 rating for my package, it has been 7 days, not until there is no clarity whatsoever, terrible …"
193," It was bad this expedition, at first the order in Lazada was finished, the contents were exchanged, finally the ninja replaced it with money …"
194," I just tried using Ninja Express once, the package has not been received in 3 days, has been successfully picked up, pdlhl is in the city of Jakarta, the name is good express but not express service. …"
195," Very bad, old service ... not like an expedition outside the city one day until, this is only in the city, it's really long, 👎 …"
196," After a week of sending the goods through this service .. When I tracked it, it said the package was MISSING. How come ??? …"
197,"Bad service, lack of informations and solutions and late delivery."
198," NINJA EXPRESS service is good and PORIS AL SHOP INDONESIA continues to use NINJA EXPRESS, ok? …"
199, Long time each send  
200, The longest original shipping expedition. Disappointed badly .. …
201, WASTE DELIVERY SERVICES !! THE RETURN PACKAGE FROM LAZADA SOBEK AND RESTRAYED SAYS THERE IS LOST AND NO LIABILITY TO MAIN TO BE SEND ONLY. …
202,To late from delivery order thank you
203," Very bad service, as a businessman I am constrained by Ninja Express …"
204," The period of 2 days has just been picked up, which should have been 3 days until the 3rd day is just running, the 4th day is unclear, besides that my mother has bought free stuff, the time has been asked for 11 …"
205," It opens at 8 o'clock, he said, waiting for it until now midday, the package still hasn't been sent, where do the customers keep asking again when the goods arrived, what about ninja express, know how to use the fast …"
206,"Poor courier service,  poor tracking system, NOT RECOMMENDED"
207, How about 15 days the package has not been reached. My intention is to send my package …
208," Never mind COD, Transfer only can return, you still have to pay again …"
209," from yesterday the status of the package was delivered to the recipient's address until today the status was just that, there was no confirmation whatsoever from the courier who was also on when it was delivered, gtw …"
210," already 1 week hasn't arrived, at the payment of ninja experss for 2-3hrs it arrives eh, how come it's not expensive ""Paying to Alfamart eh disappointed sour"" taik 50k cat flew nowhere. …"
211," Please for the courier, if you send the confirmation package first with the recipient there is the recipient's number written on it, don't play as long as you just give it …"
212, My package has not arrived because I bought at Tokopedia the regular Xpress ninja courier jacket hasn't arrived yet please please because I already paid via Alfamart yesterday …
213," It's fast, ninja express from Central Java to Lampung for 3 days …"
214, KURA KURA expedition. It's better to trade fried food …
215,ninj good
216," Very bad ninja service, Please choose ""if you are looking for a courteous courier, We know we are tired and tired but help us customers, the package was taken …"
217," it doesn't match the advertisement, it's been 5 days until now the goods haven't arrived …"
218, Worse ... the package from 23 Jan 2021 to now 1 feb 2021 didn't arrive ... bad ... bad ... really bad …
219,Mistic coffee
220," You only have the longest expedition service. It is very, very highly not recommended using the Ninja Express. Thousands of packages? Do you have a dream? Just one package arrived a century. Wow, I'm sorry before, but …"
221," Disappointed, the pickup usually takes a day, it's not been picked up in 5 days & until now it's still waiting. Instead of going forward, it's going backwards …"
222," Please CS, please give me the correct information ... as long as you know if we ask, it means serious, don't just answer it. Losing time ... better if only money can be found. time can't go back again …"
223, Excellent  
224, If you may know where SH CAKUNG  
225," Ninja exprss is very bad, my package didn't arrive from the 7th to the 12th, and the package I asked was lost …"
226,Thank ninja you always care for my item on shoop
227,Always delayed pick up
228, Several times using ninja. It takes a long time to deliver 😂 from Bandung to Jakarta it can take 3 days. …
229, Deliver goods from January 2 from Tangerang 6 days later still in ninja express warehouse I don't know what for. Asking CS only says in the warehouse but can't confirm to the warehouse or give a delivery estimate. Fix …
230," These are clearly all fake ratings! I ordered a package using ninja. From Tangerang to Jakarta, the estimate should be 1-2 days. …"
231," May I ask for clarity. My package status has been received even though I haven't got my package yet. I asked the security, there wasn't even the next security. Is the item taken by the courier or what? If the goods …"
232," What this expedition features, the call center is slow, it's not clear ... The delivery from 30/12/20 until now on 05/01/21 hasn't arrived, even though Jakarta - Depok, what if it's outside Jabodetabrk, it could be 3 …"
233," It is inversely proportional to the name 😁, it's better to just change the title …"
234, The expedition service is worst and super severe! Sorry to say …
235," I think A * terAja is already the worst in terms of delivery, it turns out that there are competitors, it's been 3 days the package hasn't arrived even though it's only from Cipanas, Cianjur. I don't know if the …"
236," THE RATING IS GOOD ""5 STARS AVERAGE. BUT IT REALLY LOVE THE 1 STAR AND COMPLAINTS BECAUSE THE DELIVERY IS VERY"" LONG. HAHAHA FROM HERE ALREADY CRUSHED EMANG PAKE THE SERVICE AT NINJA XPRESS IS UNBELIEVABLE. …"
237," This is the longest expeditionary service .. Pdhal send together one at J & T .. If it's a problem to bring lots of goods, all couriers also bring lots of stuff .. Anyway, give J&T …"
238," It's a shame to use express ninja not according to its name, if it's only 3-4 days, using ninja for 10 days hasn't arrived yet, all the ratings are bad, ninja's not good, I'm sorry. …"
239," Worse, how come the package didn't arrive and didn't move, using other services all arrived, using severe express ninja services. Just change the name slow ninja. …"
240," Bad service, estimated max 4 days of delivery, actually 9 days there is no clarity …"
241," Really bad .. What is the problem ... the delivery period is only from Cirebon to Bekasi, it has been 4 days until it arrived "",, …"
242," Sending packages from 4 December and now on 24 December the package is not clear! On the 15th, the complaint to CS was answered the reason the package was lost …"
243, very disappointed  
244," If you don't have to, you won't use the Ninja Xpress service. As a sender, the pick-up service can take longer than 3 days even though it has been followed up many times. The delivery to the customer is also very …"
245," Just change the last name it doesn't match ad xpress, KEMPESSSS is much more suitable. My package from shopee has been sent 3 days there is no update at all but it is automatically canceled, the reason is that the …"
246, Very slow and the slowest sorting can be up to 2-3 days👎 …
247," I was really disappointed it didn't match. The time is specified, the courier is also unclear if I want to be queued as soon as possible until now my package has not arrived …"
248, Cool  
249," The delivery is long, the tracking is not clear where the location is, it's turn out that the package will be sent today but until evening it doesn't arrive either, even though it's for use tomorrow morning, please …"
250, The package was sent for a long time and until now it is not sent ... the tracking status of the package will be sent to the recipient's address but for days it is not sent with the reason that there is not enough …
251," The item is not clear when it arrived, that's how the package has been updated is not clear, it's not like another expedition who was quick to provide updates .. very disappointed with this ninja express. Hopefully in …"
252," Ninja Express was slow to deliver from Seler on the 8th to pick up the goods from Jakarta cmn to Bandar Lampung until the 15th, still in Jakarta, I was sorry to use Ninja Express. Disappointedaaaaaaaaa …"
253," The delivery is slow, especially the orders from Cirebon and Pemalang, it takes a long time …"
254," Every time I order online, the courier service using ninja will definitely never arrive even though my location is not in the interior …"
255," Very disappointing for this expedition's customer, I waited for the order to arrive for two weeks when I was asked to the telegram bot, it turned out that the package was damaged but there was no news at all, it was …"
256, Nina's delivery took a long time without breaking  
257," if there is a 0 star 0 star, I sent the same package to Jakarta, you can say the item is lost. It's been a week since ordering that there is also news of NINJA EXPRESS GA PROFESSIONAL GA RECOMMENDATION. Poor green …"
258," Have been disappointed many times with the delivery of this expedition, it's really long, even though it was sent by the seller from Monday from Bandung, Friday afternoon the courier telephoned asking for the address, …"
259," Wow ... I'm really sorry I used Xpress ninja courier at my sales shop, I didn't pick up my pickup for 2 days. Even though it's their job. As a dishopee seller, I was very disappointed with the service. Up to + 3 days, …"
260, My place of work is looking for lawful sustenance and blessings. …
261, The umpteenth time being disappointed by the xpress ninja. The package always takes a long time to pick up. Ask for pickup from Thursday until now it hasn't been picked up yet. Tlp cs already 2x the ads don't change …
262," Hey, how about my package, from Wednesday it's still there too, where are you going tomorrow, the package didn't come just this time, making a ninja disappointed …"
263, May I have a contact with a ninja in the Kupang area because my package hasn't been delivered …
264," Very disappointed in the delivery Until there is a notification that the delivery has failed like this, when will it be sent? …"
265," My package hasn't arrived until now I'm sorry I used this service ... for a long time, I couldn't move fast ... …"
266," Woyy, my item from Bogor to Jambi didn't arrive when I was confirmed, the word was damaged, I was asked where the item was but I didn't want to see it wasn't broken ... that's bad if it's a total of 2 million more ... …"
267," How come my package from 3 days ago didn't update huh? He said it was in transit, which transit? It took a long time ... Pdhl, I used to use Ninja Express, hopefully ... I'm afraid it won't come, where does the …"
268," Unfortunately, I chose this expedition, I chose the expedition which was 2 working days for the olshop because of urgent needs and there was only this expedition. It's day 3 in the afternoon, the goods are not there …"
269, Karana is easy to find the best route  
270," ORIGINAL DOES NOT RECOMMEND THIS DELIVERY, A COMPLETE UDAH ADDRESS AND CLEAR ACTIVITY PHONE NUMBER AND ARE STILL JAKARTA AREA, BUT NOT SAMPE-SAMPE GOODS, GET DESCRIPTION OF GOODS RETURNED TO THE SENDER …"
271," Not recommended. My file submission in March was approximately 20 receipts, all lost and nothing was received by the vendor …"
272," The first time I used the Express Ninja, I was really disappointed, why did it fail to send, I didn't want to use Express Ninja anymore, I was really disappointed …"
273," Duh, I don't really use ninja, every time the courier pickups are always good, ask for the next day ... it's really strange, where is the talking too impolite, right when selling in the customer marketplace, I don't …"
274," How come my package doesn't move ""please inform my pket  "
275," Please just fire the courier, because I'm not polite & impolite ... even though I was told to wait for 5 minutes or so I ran away, I didn't say anything, Malay said I was destitute because I didn't want to change …"
276," Good morning, my package has been in transit for 3 days but where did it go for 3 days. Then there is no latest update, please don't this is how it works. …"
277, Disappointed 2 times. Buy a package. .shipping via mail. Ninja. . Most of the prnding was severe. …
278," Servant and speed like a ninja style, Just don't take the ninja stance that likes to disappear Yach ,, the one who disappears doesn't know the news hehehe ,, ninja express mwanteeeeeeppppp …"
279, Want to ask .. does Ninja Express open vacancies for couriers .. thank you …
280," Sir / Ma'am, please if you want to open an expedition, first review the work plan. Don't be careless! The period of sending the package is really old, so the receipt is checked, there is no update. If the employee …"
281," bad cooperation. 8 months commission doesn't pay off DISAPPOINTED, the reason the computer is broken blah blah Please at URUS, the responsibility is NINJA, MITRA ASIH BEKASI UTARA branch …"
282," I have used the Ninja Xpress service twice, but the delivery is always late, the station will always be sent to the destination only, after 4 days, actually the intention is to make this service company or not, or the …"
